SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://gucvod-ott2b.cdn.hinet.net/vod_guc/_definst_/smil:guc/ottliveUpload/video/guc/ch01_20260731154000.mp4/hd-hls-cl-pc.smil/playlist.m3u8
VIDEO TITLE: GUC 2026 Q2 investor conference replay (hinet OTT)
CALL DATE: 07-31-2026
QUARTER: Q2 FY2026
# source label: GUC (Global Unichip) Q2 FY2026 (07-31-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 2130   characters: 21,594

---
[00:00] 各位投資先進 午安
[00:02] 歡迎各位參加創意電子
[02:13] 互信與關係
[02:15] 然後加上跟臺積電更幾密合作
[02:17] 跟OIP的partner
[02:19] 能夠提供
[02:20] 更優秀的設計
[02:23] 服務的實力
[02:24] 跟我們客戶可以
[02:26] 營造
[02:27] 互營的成果
[02:29] 然後帶領GUC
[02:31] 走上更高一層樓
[02:34] 往後我一向會頂持我的
[02:37] 這個信念
[02:38] 也就是我的作用名
[02:40] 就是我挑戰
[02:43] 我發揮
[02:44] 我成就
[02:45] 我希望頂著我的初衷
[02:48] 能夠讓
[02:49] 創意電子
[02:50] 更上一層樓
[02:52] 再次我也希望各位投資先進
[02:54] 能夠多多的鼓勵我
[02:57] 給我建議
[02:58] 給我一些
[03:00] 批評指教都好
[03:01] 對我來說都是一些
[03:03] 很好的因果
[03:05] 那今天的法說會
[03:06] 除了我們會跟大家報告一下GUC
[03:10] 上半年的營運成果之外
[03:12] 也希望藉此這個
[03:14] 互動的機會
[03:16] 讓大家對公司的方向
[03:18] 以及以後的策略
[03:20] 有所瞭解
[03:22] 那下面就請我們的
[03:24] 財務長跟大家報告一下
[03:26] 我們Q2的這個財務的情況
[03:30] 謝謝大家
[03:58] 各位投資先進大家午安
[04:00] 那事實上我想今天的股市的成果
[04:03] 應該你們每個人都非常的開心
[04:06] 那我們也期待
[04:08] 在未來的
[04:10] 這個下半年
[04:11] 整個下半年
[04:13] 可以每天都這樣紅通通的
[04:15] 因為這也是我們的期許
[04:17] 我們的業績往上成長
[04:19] 當然也應該反映在股價上面
[04:22] 好
[04:23] 我們Q2的這個營收
[04:27] 其實上做的還算可以
[04:29] 大概做到139億左右
[04:32] 那這個數字跟我們的第一季的數字比起來
[04:37] 成長了大概20%
[04:39] 那
[04:40] 比照原先我們當時候在第一季的時候
[04:43] 事實上
[04:44] 那時候的法說
[04:45] 可能對於這個
[04:47] 這個產能上面的取得
[04:50] 還有一點點小小的疑慮這樣子
[04:52] 不過就如同剛剛張董事長說的
[04:56] 這個我們跟台積電的淵源算是相對比較深厚
[05:00] 一些
[05:01] 也比較有機會能夠取得一些upside的空間
[05:04] 所以呢我們在第二季確實也做到了
[05:08] 超過10%以上的成長做到20%
[05:12] 那我想在我今年的下半年
[05:15] 這個數字肯定是
[05:17] 值得期待的
[05:19] 更值得期待的
[05:20] 那
[05:21] 下面的話呢
[05:23] 主要增加的營收的部分呢
[05:25] 大部分是來自於一些
[05:28] Tenkey雲端的部分的出貨
[05:31] 確實有比較明顯的增加
[05:33] 那第二個原因呢是
[05:35] 因為我們的NRE的部分
[05:37] NRE的部分對我們來說
[05:40] 在第二季有更多更多的項目
[05:43] 他進入了
[05:45] 所謂的tape out的階段
[05:47] 那tape out的光照的錢跟這個測試的
[05:51] Waver的錢呢
[05:52] 相對來講金額雖然大
[05:55] 但是他的毛力卻比較差
[05:57] 但是呢這是一個痛苦的過程
[06:00] 怎麼說呢
[06:01] 就是
[06:02] 如果沒有經過tape out
[06:03] 後面怎麼會跑到Tenkey來呢
[06:06] 所以說
[06:07] 我們中間確實會有某一些專案
[06:09] 他剛好是在第二季的時候
[06:12] 那麼完成了這個所謂tape out的動作
[06:15] 那第一季的時候就如上次所說的
[06:18] 就是蠻多NRE的revenue
[06:21] in the early stage
[06:23] So that resulted in a higher gross margin
[06:26] 所以呢這個對我們來講
[06:28] 當然第一季雖然金額低
[06:31] 但是存毛力的成分高
[06:33] 那麼第二季的部分呢
[06:35] 金額大但是呢
[06:37] 毛力率相對會比較低
[06:40] 好 那第二季的部分的話呢
[06:43] 我們大概組成上面
[06:46] 跟雲端有關的
[06:48] 包括雲端的運算 雲端的圈領
[06:51] 甚至雲端的
[06:53] 這個connectivity
[06:55] 大概跟雲端相關的接近
[06:57] 快要接近80%的出貨
[07:00] 那剩下的20%呢 基本上就是
[07:04] 這個consuming Crypto memory有關跟一些其他的
[07:09] 那我們展望下半年的組成
[07:12] 基本上不會差太多
[07:15] 不過Crypto會被
[07:16] Automotive 取代起來
[07:19] 所以說
[07:20] 這部分對我們來講也是非常強大的信心
[07:23] 就是說
[07:25] 事實上金額 我想我們是樂觀的
[07:29] 比重的話 基本上可能跟上下
[07:32] 這個q2跟下半年不會差太多
[07:36] 那營業費用的部分的話呢 基本上沒有太大的
[07:39] 差異跟第一季 大概都是13億
[07:42] 不過我們的研究費
[07:44] 大概是增加的地方
[07:47] 那如同我在第一季發說的時候 已經跟大家
[07:50] 預告過了 就是我們有圖靈中心嘛
[07:53] 那圖靈中心 我們事實上從第二季開始
[07:56] 開始
[07:58] 叫做試營運 我們已經開始跑一些
[08:01] 中小型的project
[08:03] 那我們預計在下半年這個圖靈中心
[08:05] 會
[08:06] 開始全線的使用這樣子
[08:09] 當然他會增加我們一些些的這個這個
[08:12] 研究費
[08:13] 但是呢
[08:15] 我相信在未來
[08:16] 三奈明 兩奈明 甚至更先進的製程
[08:20] 還有高階封裝上面
[08:22] 一定會有非常強大的幫助的
[08:26] 那整個來看的話呢 我們最終
[08:29] 在第二季實現了大概15.5億的獲利
[08:33] 那
[08:35] 大概是一PS是1.6
[08:37] 這樣的數字呢
[08:39] 當然我們
[08:41] 不滿意
[08:43] 所以我們會更努力的在下半年創造
[08:46] 更好的成果出來
[08:48] 那以上呢 大概這個是跟準益有關的部分
[09:10] 那這個是過去幾個年度跟季度來看
[09:14] 那我看一下這個
[09:21] 上半年的部分的話呢 我們大概就是
[09:23] 做到250億啦 當然我剛剛講說這個
[09:27] 基本上下半年我們的樂觀度絕對是
[09:30] 更高的
[09:31] 那
[09:33] 所以至於組合上 剛剛有提到可能
[09:36] 跟第二季不會差太遠這樣子
[09:39] 那營業費用的部分的話呢 下半年
[09:43] 在消管副大概不會差太多
[09:46] 但是研究費會略為增加
[09:49] 那其他業外大概也不會有太大的變化
[09:52] 所以說呢
[09:54] 上面的部分包括
[09:56] Revenu momentum 那當然我們比較有信心
[09:59] 當然也是搭配台幣給我們的支持
[10:02] 我想這部分可以留在後面
[10:05] 請這個董事長或陸近再跟大家
[10:07] 做一些更多的說明
[10:09] 那以上大概是我簡短的為我們Q2
[10:13] 去上半年的業績成果做個說明 謝謝大家
[10:22] 接下來我們請董事長 紀徹列長及
[10:26] 總經理來說明營運蓋礦跟未來掌望
[10:37] 各位投資先進 大家好
[10:39] 這個
[10:41] 其實
[10:42] 往年我們也沒有太去講所謂未來的
[10:45] 展望
[10:46] 因為事實上各位也都知道我們在技術面
[10:49] 我們耕耘了很久
[10:51] 然後這幾年各位也看得到我們在美國
[10:55] 這個CSP這邊的展貨
[10:58] 所以我比較傾向於說
[11:03] 在一些策略方面或什麼的話
[11:06] 可能
[11:07] 與其我們自己講
[11:09] 還不如說就讓各位先進來提問題
[11:13] 好嗎
[11:15] 所以就
[11:17] 否則我們講的可能每年都差不多
[11:19] 如果
[11:20] 每年都改的話
[11:21] 這種就不需要策略了
[11:23] 對不對
[11:24] 好 那我們謝謝總經理讓我們有80分鐘的時間
[11:28] 從現在10分到
[11:30] 2點10分到3點半 80分鐘時間讓大家問個
[11:33] 夠
[11:34] 所以大家的問題可以簡潔有力
[11:37] 回答讓盡量讓各位滿意
[11:39] 那剛剛再重申一次
[11:42] 會以後就不能再提問了
[11:44] 所以不要害羞
[11:46] 不管是第一次還是說數十次的人
[11:48] 請踴躍的先舉手發問
[11:51] 那發問的時候請報名一下你的服務
[11:54] 機構跟你的大名
[11:55] 那我們做一個紀錄
[11:58] 那從現在開始
[12:01] 請提問 謝謝
[12:06] 怎麼我講完反而客氣起來了
[12:09] 那需要點名嗎不用吧
[12:11] 這樣會像安排好
[12:13] 我們沒有安排
[12:14] 我們先請這個那邊舉手
[12:17] 就是原大的這個捐捐
[12:20] 請麥克風交給他謝謝
[12:22] 那接下來就是那個
[12:24] 富邦的Rita
[12:26] 你們好 那我還是
[12:35] 想知道說整個第三季
[12:38] 或是全年的一個
[12:40] 該等值
[12:42] 然後另外就是說
[12:44] 就是說
[12:46] 我看到第二季的
[12:48] Payment增加蠻多的
[12:51] 那我想知道說這個主要是來自
[12:54] 新的客人呢
[12:55] 還是說既有的客人
[12:58] 例如說還
[12:59] 他的content有增加
[13:01] 那另外就是說
[13:03] 整個下半年的Margin
[13:05] 我們那個趨勢怎麼看
[13:08] 先這樣
[13:11] 謝謝你的問題
[13:14] 當然我們不能做採測
[13:17] 但是事實上我們來看的話
[13:19] 我們先以Payment來說
[13:22] 在面對
[13:24] 總CST的大客戶等等
[13:26] 我們常常都需要先準備一些東西
[13:30] 例如說
[13:31] COAS之外我們要準備的當然是
[13:33] HBM的顆粒嘛 對不對
[13:36] 這些的話就是我們有一定是這個價值
[13:39] 還在 還在價值
[13:41] 所以常常我們就會先
[13:43] 就客戶下單我們就先預備著
[13:46] 所以這種就
[13:47] 這種Payment是不可眠的
[13:51] 至於說毛利怎麼看好
[13:53] 剛剛財務長有分析過就是
[13:57] 我們第一季的毛利很高
[13:59] 那這個真的就是客戶
[14:01] 就從前我在Deadhouse的時候我們會講說
[14:05] 產品組合
[14:06] 但是現在就是客戶的
[14:09] 配報時間
[14:11] 客戶配報時間如果他比較集中在
[14:14] 第一季的時候
[14:16] 這NRE我們收的會比較多
[14:19] 那當然毛利就比較高
[14:21] 但是他之後會帶來的當然就是量產
[14:25] 量產的這個毛利就會比較低
[14:28] 所以說實在話第一季的這個毛利
[14:31] 當然很漂亮
[14:33] 但是各位要看就是當我們第二季
[14:36] 現在看到的數字我們還是量產
[14:39] 量產的這個數字已經
[14:41] 其實算相當漂亮
[14:43] 全年怎麼看我們覺得
[14:45] 我們會努力維持
[14:47] 但是這還是要讓要看客戶的量產的
[14:51] 成功度如何
[14:53] 那再來就是NRE黑報
[14:56] 如果有Delay到明年
[14:59] 當然就會讓我們的毛利降一點
[15:01] 如果今年即時的黑報毛利就會升一點
[15:05] 這些
[15:07] 現在要預測
[15:09] 下一兩季下一季可能還看得到
[15:12] 在第四季會不會影響到
[15:16] 現在還難說
[15:17] 但是全年來說我們對於今年的毛利率
[15:21] 是
[15:22] 還是有信心的
[15:26] 那我想問一下可以update
[15:28] 一下我們現在再等一些案子
[15:30] 例如說CPU還有那個
[15:33] 北美的那個車用的客人
[15:35] 目前的進展
[15:38] 我們
[15:39] 照例是不應該洩漏客戶
[15:43] 更不應該講客戶的project的
[15:46] 的狀況
[15:48] 但是還是那句話
[15:50] 我們
[15:51] 黑報的非常準確
[15:55] 就是客戶原來
[15:58] 喊的是3月31我們4月6號黑報
[16:01] 所以這個就是證明了我們的能力
[16:04] 還有就是跟客戶的默契
[16:06] 這些都非常好
[16:14] 我們請富邦的
[16:15] Rita提問謝謝
[16:29] 然後帶一種財務長
[16:31] 就想說你好我是富邦的Rita
[16:33] 然後
[16:35] 這邊想先恭喜張董
[16:36] 這是第一次在法說會之間看到
[16:39] 你本人然後恭喜你開始擔任
[16:42] 創意的董事長
[16:43] 他們期待創意在年代以下可以有更多
[16:46] 更好發展
[16:47] 然後我這邊有一些
[16:49] 隱隱的相關問題想要詢問
[16:51] 然後我第一個問題想要問一下
[16:54] 就是北美CPU的客戶
[16:57] 就是想問一下就是他的
[16:59] 展望因為就是時間到現在7月底
[17:02] 明年的產能分配應該是差不多有一個
[17:06] 想法法
[17:07] 就是想問說就是
[17:09] 產能取得的狀況
[17:11] 怎麼樣
[17:12] 然後還有他的2027年成長性
[17:14] 雖然就是可能公司不方便給一些
[17:17] 非常量化的數字
[17:18] 但是是能給我們一些方向
[17:21] 例如說跟他的TPU的成長性
[17:24] 是不是可以看齊那個成長率
[17:34] Rita的問題通常很難回答
[17:36] 雖然你已經幫我講了說
[17:38] 這個不需要給Exec的數字
[17:40] 我們當然也給不了
[17:42] 產能陸陸續續以
[17:46] 排機店的
[17:48] 習慣是陸陸續續這1 2個月會
[17:51] 開出來面的
[17:52] 對
[17:54] 目前來看
[17:57] 對我們來說是很樂觀
[18:03] 但是實際上明年會怎麼樣
[18:05] 我們也
[18:06] 因為這受限於第一台機店的
[18:08] capacity是不是真的能夠補充
[18:11] 第二就是客戶給的
[18:14] focus到底他做不做得到
[18:18] 所以我現在只能說我們很樂觀
[18:21] 但
[18:25] 我是個問題的follow up是想要問說
[18:28] 這個案子的延續性
[18:30] 是因為其實有蠻多的投資人會擔心
[18:33] 這個案子後續會不會就是轉給一些
[18:36] 美國的競爭對手或是客戶想要拿回去
[18:39] 自己做
[18:40] 就是想問公司這邊看有沒有覺得真的有
[18:42] 競爭嗎
[18:43] 公司是不是真的有一個不可取代金
[18:46] 這上次公司有特別提到說有拿到下一代
[18:49] 的案子
[18:49] 想問我們現在最遠可以看到幾年
[18:52] 我們拿到
[18:55] 下一
[18:56] 我們是拿到下一個案子
[18:58] 然後下個案子
[19:01] 預計今年年底明年年初量產
[19:05] 才會呈現
[19:07] 然後以現的現來這個案子已經跑了
[19:10] 快兩年了
[19:12] 所以我覺得下個案子再往下看是很ok的
[19:16] 所以說你問我說
[19:19] 我們的競爭者中
[19:21] 我們的
[19:23] 遇到這種狀況會怎麼樣
[19:24] 我只能說
[19:27] 那家公司
[19:29] 同樣的
[19:31] product line
[19:32] 他有非常多不同的
[19:36] 非常
[19:37] 所以他不同的
[19:38] 他有不同的做法有些是交給某一家公司
[19:42] 從頭做到尾有些是交給人家他自己做一部分
[19:46] 交給人家做
[19:47] 後段還有一些像是就交給
[19:50] 比如說我們從
[19:54] 封裝往上走
[19:56] 所以
[19:57] 只能說這家公司在這方面做得非常好
[20:01] 那可是呢可以也絕對可以看得到他的
[20:06] 他未來的動向就是他真的開始往下走往下吃
[20:11] 所以
[20:11] eventually有一天他可能他最在乎的
[20:15] 產品線
[20:17] 他是有可能全部自己做
[20:19] 但是以現在來看他同一個產品線都能夠分那麼多
[20:23] steel
[20:24] 我不相信他一個他自己養的人可以全部吃掉
[20:29] 所以我覺得我對於未來
[20:32] 我們繼續在這個客戶登民的成果
[20:35] 我會是
[20:37] 很樂觀的
[20:41] 那我第二個問題
[20:43] 第二個問題想要問
[20:45] 北美車用客戶
[20:47] 就是想要問公司能不能分享
[20:50] 就是在這個案子在二零二七年二零二八年的
[20:53] 展望
[20:54] 就像是何時可以貢獻營收
[20:57] 然後在毛利率的方面
[20:59] 就是上次有提供
[21:01] 是自己的提高tk1
[21:03] 然後我們將估二三十可
[21:05] 所以這種是合理的時間嗎
[21:08] 然後因為公司提到這個案子是很重要的
[21:11] 成長動能
[21:12] 就是能不能啟容一下未來的五年
[21:15] 每年成長的幅度
[21:18] 大概會長什麼樣子
[21:19] 然後背後的應用
[21:26] 我如果繼續說我自己
[21:28] 我們不能講那個不能講
[21:30] 可是看樣子
[21:31] 對方的CEO什麼都在講
[21:35] 我還是不講對方是誰
[21:37] 除了車用之外
[21:43] 這個對方CEO也說什麼機器人
[21:47] 對我覺得展望上
[21:49] 我是覺得是很ok的
[21:52] 那這個量到底是哪時候會比較
[21:56] 成長的比較多
[21:58] depends on
[22:00] 他們對於機器人工廠的整個
[22:05] 找尋
[22:07] 所以
[22:08] 我這邊我真的沒有辦法幫他們說什麼
[22:12] 但是我能夠講的就是
[22:14] 我們黑暴的這一代
[22:17] 我們也在努力談
[22:19] 然後下一代
[22:20] 應該也是我們
[22:22] 所以
[22:25] 量纏會是多少
[22:27] 我沒辦法估計
[22:28] 但是
[22:29] NRE下一代哪時候走
[22:32] 或是我們是有信心的
[22:35] 也很清楚 schedule
[22:36] 但是真的不方便扣
[22:41] NRE應該沒有講過
[22:46] 這你們可能當初是用什麼
[22:49] 他的電車
[22:50] 什麼一年多少輛
[22:53] 有沒有redundance
[22:54] 幾成二
[22:55] 這是你們在算的
[22:57] 不是我們給的
[23:00] 這個問題有一個法
[23:02] 就是
[23:04] 犯一個嫉妒
[23:05] 就是有很多投資人是擔心說
[23:07] 這個案子跟
[23:09] 其他的
[23:10] 防水的競爭
[23:11] 然後還有人會
[23:13] 就是擔心說
[23:14] 因為這個客人
[23:15] 他有自己說
[23:16] 他想要做一個自己的
[23:18] 防水
[23:18] 然後很怕就是
[23:20] 台穎店不願意就是配給這個客人
[23:22] 太多的
[23:23] 咳嗽設計
[23:24] 想問公司怎麼看這些理由
[23:39] 其實就品師
[23:40] 我們以前在台穎店做很多時候
[23:42] 我們
[23:45] 聽說客戶的
[23:47] 他有他的
[23:49] 策略
[23:49] 他怎麼分
[23:50] 怎麼弄
[23:51] 這個經常
[23:52] 我們可以合作
[23:53] 我們可以合作
[23:55] 我們盡量影響
[23:57] 可是呢
[23:58] 可是最後決定還是客戶
[24:00] 那我覺得
[24:01] 我們最重要是把我們跟做好
[24:05] 讓拉大我們跟
[24:07] 對方competitive的距離
[24:09] 所以這個
[24:10] 這個case
[24:11] 就是其實是完全呈現
[24:14] 在
[24:14] 在
[24:15] 我們跟台穎店緊密合作
[24:18] 把他下一代的產品
[24:19] 的PPA做到更好
[24:21] 更極致
[24:22] 這樣子的話
[24:23] 讓客戶的選擇
[24:25] 很清楚明瞭的
[24:28] 這是這是我們的方針
[24:29] 我們也希望這這是我們可以掌控的
[24:32] 我們可以好好做
[24:33] 那其他老實說很多東西是
[24:36] 客戶要
[24:37] 的決定還有我們competitive
[24:39] 要做些什麼
[24:40] 這是無法掌控
[24:41] 所以我們一再的秉持就是
[24:44] 跟台穎店
[24:45] 跟客戶緊密合作
[24:47] 把我們跟他做到最好
[24:49] 最局勢
[24:50] 讓客戶可以做到最好的選擇
[24:53] 這是我們的策略
[24:56] 對當中非常精神
[25:00] 接下來有哪位先進要提問的呢
[25:08] 好我們請
[25:09] 台穎的
[25:10] Lucas
[25:24] 董事長
[25:26] 總經理財務長好
[25:27] 那我是台穎的Lucas
[25:28] 那我這邊有第一個問題想要先問一下
[25:31] 就是說
[25:32] 剛剛
[25:34] 戴農提到
[25:35] 就是有我們現在有一個比較大的客戶
[25:37] 未來他
[25:38] Uventure理會走到想要自己
[25:41] 掌控大概怎麼供應面或是設計的流程
[25:44] 或大部分
[25:46] 我要立刻把我的話修正
[25:49] 或者說你們聽到的你們以為我說的話
[25:52] Acec客戶
[25:55] 永遠有全部改成自己做的
[25:59] 這種是
[26:00] 避不了的
[26:02] 所以我後來有補充說
[26:04] 他自己的skill
[26:06] 同一個產品線skill都那麼多
[26:08] 所以他
[26:10] 自己會真的掌握全部從頭到尾自己做
[26:13] 他的results絕對不足
[26:15] 所以他可能只會挑最重要最重要的
[26:18] 其他還是會分出去
[26:21] 所以我沒有說
[26:23] 他們會轉走
[26:25] 我們未來沒有了
[26:27] 拜託
[26:33] 有重要的
[26:35] 然後開始原本從一個
[26:37] Define Service Planner
[26:39] 慢慢的就開始
[26:41] 轉得更多或
[26:43] 去拉回來自己做
[26:45] 都有自己的設計能力
[26:47] 那可是
[26:59] 之後再某一些他的skill有更多的
[27:02] 機會
[27:06] ok 其實
[27:07] 其實這就是一開始剛剛我們的
[27:10] Acec說這個策略啊什麼什麼我們要怎麼樣
[27:13] 講 其實我們對於這一類的客戶的策略
[27:17] 很簡單
[27:18] 第一我們是
[27:20] 不可能跟brocon這種公司去比
[27:23] brocon就是從頭做到尾
[27:26] 所以對於
[27:28] 這家公司來他的這個客戶來說
[27:31] 他就交給brocon從頭到尾
[27:33] 可是問題是brocon就會要求非常非常高的
[27:36] margin
[27:38] 那當你的量不大
[27:40] 也就是說在這個AI的這個浪潮
[27:44] 真的變成大浪之前
[27:47] 對於
[27:48] 客戶來說
[27:50] 多花這一筆錢
[27:52] 然後
[27:53] 佔一些先機
[27:55] 然後用他的
[27:56] TPU去證明他的model
[27:59] 是比別人強的
[28:01] 這是值得做的
[28:03] 但是當
[28:05] 整個這個training的program變得大得
[28:08] 非常多的時候
[28:11] 那種percent of margin他給出去
[28:13] 然後要乘以怎麼100倍1000倍一萬倍
[28:17] 他就會覺得不值
[28:18] 所以他一定會往下走
[28:20] 所以往下走就是他要開始往下
[28:24] 那我們要去跟brocon這種公司去爭
[28:27] 我們從我們一樣從最上面的所謂RTL
[28:31] 去做spec in的話
[28:33] 我們是做不過他們的
[28:34] 是這是不太可能的
[28:36] 所以我們是從下往上走
[28:39] 因為我們最強的就是跟台積電合作的
[28:43] 這個先進風裝
[28:45] 然後先進風裝這邊
[28:47] 我們甚至比一些
[28:49] 所謂很大
[28:51] 成名的底沾號都要先都要強
[28:53] 因為這些底沾號當初不需要這麼先進的
[28:57] 風裝針對他自己的產品線
[29:01] 所以我們是從下往上走
[29:05] 那我們有信心
[29:08] 就算未來的
[29:10] tk不見的都能拿到我們起碼nre
[29:14] 幫他做了非常多的先進風裝的
[29:18] 不是test triple甚至是量產版
[29:22] 然後我們希望的是他從
[29:26] RTL往下走
[29:27] 我們從風裝設計往上走
[29:32] 我們meet
[29:34] 接觸碰到的地方就是
[29:36] design service
[29:37] 就是我們所謂的 physical synthesis
[29:40] physical implementation
[29:42] 所以這套策略其實我們已經很多年了
[29:46] 就是
[29:49] asic小的asic design house他會
[29:52] 基本上他一定養RTL的人
[29:55] 那我們就直接跟他
[29:56] 再never seen的就hand over
[29:59] 但是那種大的公司
[30:01] 尤其是他是軟體based的公司譬如說
[30:05] Microsoft或者Google這類的公司
[30:07] 他們要從上面往下
[30:10] 增強自己的
[30:11] silicon designer要時間
[30:15] 那我們
[30:16] 並不是直接跟他切在上面
[30:19] 我們是在design flow的下層往上
[30:22] 時
[30:23] 這個我們已經用了很久也有很多展望
[30:29] 那我的包含就是說
[30:30] 把時間維度再拉到更長的話
[30:34] 他往下吃的幅度是不是是必會
[30:37] 比我們往上吃的幅度可能還要來得
[30:40] 更快一些或者是
[30:43] 對於既有的一直提到這種
[30:46] ssp的公司或所謂的bmn這樣子的一個業者
[30:49] 來講好了
[30:51] 他們的position會不會反而是被侵蝕
[30:55] 反而我們的position往上
[30:58] 會比這些bmn好來得好
[31:01] 這句話我先說
[31:04] 是我有信心我們的position會比bm好
[31:08] 為什麼呢
[31:10] 因為
[31:11] product company他在做自己的
[31:13] product的時候他的margin
[31:17] 其實應該是50%以上
[31:19] 50%以上
[31:21] 但是做design service margin基本上是在340
[31:24] 甚至20幾在徘徊的
[31:27] 所以他的call structure整個公司的call structure
[31:31] target是50% margin
[31:33] 或 above的
[31:35] 那我們的call structure就不一樣
[31:37] 所以我喜歡舉例說
[31:40] 他們是用Yankee stadium
[31:44] 那我們用的搞不好是
[31:46] pisper virus
[31:49] 我們的整個call structure就是不一樣
[31:51] Yankee stadium可能一張票要賣1000塊美金
[31:55] pisper可能就我們200塊就可以賣了
[31:59] 那可是你說
[32:04] 客戶
[32:05] 當然選擇Yankee stadium
[32:07] no
[32:08] 因為客戶現在的這種不明
[32:11] 到了後來其實已經要
[32:14] 之前是說
[32:15] 我也是個player
[32:17] 我們的客戶們
[32:19] 到了後來其實要看我是個player
[32:21] 但是我的call structure還不錯
[32:24] 以至於說大家要
[32:26] 不要說pink cost也是要比
[32:28] 我同樣的token我可以賣得比較便宜
[32:31] 因為我的call structure比較低
[32:34] 所以
[32:35] 當他們去這樣
[32:37] 我們的客戶去這樣算的時候他
[32:39] 一定會從spec往下走
[32:43] 我希望跟他們meet in the middle ground
[32:50] 那可是現在我們跟一些大客戶
[32:53] 的gross margin
[32:55] 可能maybe是在可能low teams
[32:57] 或者是可能10幾20%這樣子的去減
[33:01] 比較
[33:03] 在
[33:05] 勞力
[33:06] 大概
[33:07] 就會有越來越壓力
[33:22] 好你這問題很好
[33:23] 可是事實上這就是為什麼
[33:25] 一開始我們就會區隔
[33:27] 所謂我們所謂tk1 tk2 tk3
[33:32] 那我們就我們界定很清楚
[33:34] tk1是我們幫你做了
[33:37] 前面的底站往下走
[33:39] 就是說那tk2是我們幫你做
[33:43] 那個光照設計啊什麼的
[33:45] 我們幫你在call boss那邊去做這些
[33:48] 不是光照設計
[33:49] 講說package 風裝設計
[33:51] 這是tk2
[33:52] 那再來就是tk3
[33:54] 那這三個的定位都不一樣
[33:57] 那在
[33:58] 所以
[33:59] 他的call structure不一樣他的
[34:02] 我們的收費標準也不一樣
[34:04] 所以我們不會說
[34:06] 在low teams跟目前在low teams幫他們做
[34:09] 那問題那是tk2或3
[34:12] 有的就是tk3
[34:13] 等到我們要幫他做tk1的時候他跟我們要low teams
[34:16] No way
[34:17] 因為我們的competitor
[34:19] 也不可能用那個收費
[34:21] 去跟他做
[34:23] 所以
[34:24] 就是這是一個satment的差別
[34:28] OK 那我另外一個想要問的問題
[34:31] 就是說現在
[34:34] 其實CSP的案子啊都開得滿後面的
[34:37] 所以滿後面就是說有一些案子已經可能是
[34:39] 28 29年甚至30年的東西
[34:42] 那反而現在有看到越來越多新創的公司
[34:45] 他們在一些特定用到的Edge端的一些設備
[34:48] 或者是他們一些特用的一些加速器
[34:51] 其實都還算
[34:53] 滿有開案的興趣
[34:55] 或是
[34:56] 對
[34:56] 但是那當然同業有一些像是
[34:59] 有公告的像Syperl這樣子的公司
[35:01] 或我們之前有提到的像Briosa
[35:03] 或是Rivos這樣子的業者
[35:05] 那我們怎麼去看說除了CSP以外
