SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- http://www.vpec.com.tw/vpec/hmanager/hmanager_c/files/fck_files/media/20260527.mp4
VIDEO TITLE: replay
CALL DATE: 05-27-2026
QUARTER: Q1 FY2026
# source label: VPEC Q1 FY2026 (05-27-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 346   characters: 3,463

---
[00:00] 各位口誌先進 吳安娜歡迎大家來參加
[00:02] 台星2026年第二季的全球活動論壇
[02:35] 那它的原理大家可以參考一下
[02:37] 它主要是加熱機板
[02:39] 然後第一層成績在這個機板上
[02:43] 第二層要落在第一層上面要很均勻
[02:46] 然後這當然就是公司的功耗
[02:50] 公司的功耗
[02:52] 所以你如果做得好
[02:54] 特性什麼的好
[02:56] 兩率高的話
[02:57] 這個就是一個很成功的一個雷劍
[03:05] 這個是化學原素表
[03:07] 這個是三五足
[03:09] 你們常聽到的三五足
[03:11] 生化加靈化硬這些
[03:14] 那當然燙化系這邊也有在做
[03:16] 還有這個蛋化加
[03:23] 那這個是雷晶中
[03:25] 雷晶過程中的化學反應
[03:28] 我想這個大家參考一下就好了
[03:31] 我們的雷晶時間大概就是
[03:32] 微電子來講大概2到4小時
[03:35] 那光電子會比較久
[03:37] 光電子大概6到9小時
[03:40] 大概是大約啦
[03:41] 看客人的每個結構不太一樣
[03:49] 那這一頁是化合物半導體的材料特性
[03:52] 第一個當然就是一個高移動電子書
[03:57] 它是這個Silik的5.7倍
[03:59] 所以它很適合坐在手機的無線同學上面
[04:04] 那另外它有高頻率的項目
[04:07] 這個意思就是不容易受到感染
[04:10] 那第三個它的頻寬也夠寬
[04:13] 就是譬如說大家在馬拉松
[04:16] 一開始聚集的時候那邊喝冷很多
[04:19] 可是你的手機還是可以正常的上
[04:22] 大概是這個概念
[04:25] 高線信度的意思就是說
[04:27] 它比較不會失震
[04:29] 就是它也在通話的過程中
[04:32] 你聽到的聲音就好像
[04:34] 這個人在你旁邊講話的那種感覺
[04:38] 那另外它也是High Power高功率
[04:40] 然後很多材料的選擇
[04:43] 那另外它有抗輻射的效果
[04:46] 所以我們等會後面會帶到我們最近
[04:48] 新的研發的一些產品
[04:50] 就是跟這個太陽能機板有關
[04:57] 好這一頁是我們微電子產品的
[05:00] 產業公民鏈就是Supply Chain
[05:03] 那機板的部分大家可以參考這裡
[05:07] 就是德國的機板
[05:10] 日本的機板跟美國的機板
[05:13] 那這邊都是我們機板供應商
[05:16] 那微電子目前都是以6吋為生產主力
[05:20] 絕大多數啦
[05:21] 幾乎就在9成以上
[05:24] 那剛剛跟大家報告的
[05:25] 我們有67台的MOCD
[05:28] 它的長相大概是這樣
[05:30] 那經過累積之後
[05:32] 我們就出貨給我們的客人
[05:35] 所以基本上那個機板進來
[05:39] 然後到出貨
[05:41] 這個我們就只做到這一段
[05:44] 那後面就是我們有三種不同類型的客人
[05:47] 包含像IDM
[05:49] Covola SkyWars
[05:52] FamilyS
[05:53] 像Abago
[05:54] 高桶
[05:55] VG
[05:56] 那這些FamilyS就會交給下面的防水代工
[06:01] 這應該沒什麼問題
[06:03] 那後面就是做成那個晶片之後到手機
[06:07] 那目前當然我們PA是
[06:10] PA的代工領域裡面
[06:12] 應該是世界第一啦
[06:13] 從2021年之後
[06:17] 那這一頁是比較新啦
[06:19] 這一頁是最近大家比較關心的
[06:22] 光電子產品的這個產業公平鏈
[06:26] 那光電子產品有很多啦
[06:28] 我只舉一個我們現在最
[06:32] 最popular的就是Data Center這一塊
[06:35] 那這一塊的部分就是主要的話
[06:39] 這一塊的Data Center部分主要是用這個
[06:42] 零化音的機板
[06:45] 它大概是2到4吋
[06:47] 這2吋3吋4吋都有人用
[06:50] 那零化音目前最大就只到4吋
[06:53] 這個我剛前面有說過
[06:55] 光電子這邊的客人如果是零化音機板
[06:57] 最大就到4吋
[06:59] 那這是我們主要的機板公民商
[07:02] 日本
[07:03] 讀寫美國的國跟日本
[07:06] 那
[07:08] 一樣我們做到這一段為止而已
[07:11] 就累積完之後
[07:12] 後面的就是客人的 process
[07:14] 那之後他會做成這個叫做光收發模組
[07:20] 光收發模組
[07:21] 然後最後會到Data Center裡面
[07:25] 那這個當然就是這一兩年
[07:27] 成長幅度非常驚人的需求
[07:31] 目前來看需求非常的好
[07:40] 那這邊有提到就是說
[07:43] 這句其實還蠻重要的
[07:45] 我們是一個pure的AP的pride
[07:47] 就是我們是一個專業的雷精代工
[07:50] 那這句話什麼意思呢
[07:51] 就是因為我們剛剛有提到
[07:52] 我們家機台數很多
[07:55] 然後另外
[07:57] 我們好像
[07:58] 我們也沒有跟人家策略聯盟
[08:00] 也沒有交叉持股
[08:02] 然後也沒有做到後團製程
[08:05] 那所以重點來了
[08:07] 我們現在光通訊這邊的客人
[08:11] 也是倍數般的在成長
[08:13] 就是很多人來找我們做
[08:16] 包含像一些光模組長
[08:19] 或是台灣要掛牌的一些公司
[08:24] 然後當然原本的都已經在量產
[08:26] 這個大家都應該都知道
[08:30] 所以這邊大家再注意一下
[08:31] 我們是一個專業的雷精代工
[08:38] 這個EPS
[08:40] 我想大家應該都知道
[08:41] Q1是1.06
[08:44] Q2預估應該是7
[08:46] 7月30號的時候
[08:49] 會董事會會通過
[08:51] 這個到時候大家再觀察
[08:54] 我們公開資訊觀測站
[08:57] 這個檔案跟公司網站棒的一樣
[09:00] 所以你們可以上去抓
[09:05] 好那我們最後來聊一下展望的部分
[09:08] 第一個我們先聊到微電子的部分
[09:10] 那因為微電子其實
[09:13] 今年來看
[09:14] 大家看我們第一季
[09:15] 微電子其實狀況還不錯
[09:18] 甚至比去年第四季還高
[09:21] 這個當然需求來看的話
[09:24] 客人會往這個Wi-Fi 7
[09:27] 就物鏈往這邊
[09:29] 包含像他們說有些無人機
[09:31] 或者是機器人
[09:33] 這邊都會有Wi-Fi 7的這些貢獻
[09:37] 所以這邊的微電子這邊的客人
[09:40] 就是以今年的Wi-Fi比重會辣高
[09:44] 當然還有一個方向就是Wi-Fi 8
[09:47] 目前很多不止一個客人
[09:49] 很多客人都在開始開發Wi-Fi 8
[09:52] 那這是未來的趨勢
[09:55] 所以我們今年其實微電子來看
[09:57] 其實還不錯
[09:58] 表現還可以
[10:00] 那這邊也順便提到
[10:02] 就是因為因應這個機板的漲價
[10:06] 所以我們第二季的微電子這邊
[10:09] 有做價格的調漲
[10:13] 就是有漲價
[10:22] 好那光電子這邊
[10:24] 我想大家很關心的就是在Delasenter這一塊
[10:28] 那Delasenter這一塊
[10:29] 我們目前就是以接收端
[10:32] 接收端的100G跟200G都已經量產出國
[10:37] 量產出國
[10:38] 那當然今年的主意還是以100G
[10:42] 100G就是你們說的800G
[10:46] 那預估明年1.6T
[10:48] 一定應該是一個爆發期
[10:50] 明年1.6T
[10:51] 那另外發射端的部分
[10:53] 我們的Visual 400G的部分
[10:56] 已經開始量產
[10:59] 第二季開始量產
[11:01] 這個應該是2023年的3月就花了反過
[11:06] 不過一直到現在才開始量產
[11:09] 那今年的量還可以
[11:12] 那明年也是倍數般的成長
[11:14] 那另外CW Laser的客人其實也都量產
[11:18] 這個2024年第四季開始量產
[11:21] 那我剛剛提到有蠻多不同類型的顧客
[11:27] 甚至有些人是待機板來照顧我們
[11:30] 所以這邊
[11:33] 雲運狀況來看非常的好
[11:35] 那這明後年的漲貨也是非常的高
[11:37] 我剛剛有提到我們有新構置機台的計畫
[11:42] 這個就是一位Data Center這邊的預估非常的好
[11:46] 那另外我剛剛要跟你們說的就是
[11:51] 太陽能機板
[11:52] 太陽能機板的話這個目前有兩個
[11:55] 這個一個是無人機的部分
[11:57] 另外一個是低軌道衛星
[12:00] 那低軌道衛星的部分
[12:02] 這個應該是今年的案子
[12:05] 就是有這個
[12:07] 折機板的低軌道衛星
[12:10] 那也有另外一種材料
[12:11] 就是可饒司的太陽能板
[12:15] 這個是有抗輻射的效果
[12:18] 所以他們說裝在這低軌道衛星的話
[12:20] 這個效果特別好
[12:23] 那另外大家可以參考一個新的技術
[12:25] 這個就是目前還蠻稀缺的
[12:29] 就是一個HAMR的HDD
[12:32] 就是硬碟廠
[12:33] 他們現在開發一個新的技術
[12:36] 這個技術我也剛開始接觸了
[12:40] 它有三個步驟
[12:42] 就是先加熱
[12:45] 然後再冷卻
[12:47] 先加熱再寫入
[12:49] 然後後冷卻
[12:51] 因為它這個
[12:53] 透過用我們的VCL做加熱之後
[12:56] 它可以產生非常
[12:58] 就是可以寫入的容量可以變大
[13:02] 然後冷卻之後
[13:03] 確保這個資料都能儲存的安全
[13:07] 那這個技術是
[13:10] 兩年前開始開發
[13:12] 這個應該在明後年
[13:14] 就會有一個不錯的貢獻
[13:17] 那最後一頁就是這邊
[13:22] 這個就是
[13:24] 我們現在的產品應用面有很多
[13:27] 不是很多都是2到6
[13:28] 就是有用到微電池
[13:30] 會用到放電池
[13:32] 比如說像AI眼鏡
[13:34] 它可以用到顯影技術
[13:37] 還有Wi-Fi 7
[13:39] 跟這個幹測的TOF
[13:42] AI眼鏡
[13:43] DataSent
[13:44] CW Laser
[13:45] VCL跟接收端的PD
[13:48] 這邊都已經亮藏
[13:50] 那另外無人機的部分
[13:51] 無人機的像太陽能
[13:53] 或者是Wi-Fi 7的部分
[13:55] 這個就是未來的一個趨勢
[13:59] 那我今天剪短的公司
[14:01] 剪接到這邊
[14:02] 那我們是不是
[14:04] 看大家QA的部分
[14:06] 有沒有想要再多了解
[14:15] 發言人好
[14:15] 那就是想問一下
[14:16] 就是像中國那邊
[14:18] 上會有關於有機板的情況
[14:20] 想問一下全新這邊
[14:21] 機板公平的狀況
[14:23] ok
[14:24] 我想這個問題大家都非常關心
[14:27] 那我大概更新一下最新的進化
[14:29] 因為
[14:32] 我還是有些保留
[14:33] 首先我還是提到
[14:34] 就是說我們目前還沒有拿到出口許可
[14:37] 就是現在
[14:39] 現在這個時候
[14:40] 但是
[14:43] 近期間
[14:44] 就是上上週
[14:46] 我們已經接獲要補件的統治
[14:49] 那
[14:51] 就是他有要求提供一些文件
[14:53] 那內容我就不說明
[14:55] 都是一些
[14:57] 不是一些正常的文件
[14:58] 那我們在上週
[14:59] 有都完成了補件的動作
[15:02] 所以
[15:03] 十字可代
[15:04] 好不好
[15:05] 就像我舉個例子
[15:07] 像那個
[15:11] 不要舉好了
[15:13] 然後舉例啊
[15:14] 譬如大家去宜蘭
[15:16] 不是開在雪碎
[15:17] 我們之前就開了很久
[15:20] 現在好像看到那個出口
[15:21] 那個亮點
[15:23] 大概是這種感覺
[15:26] 好不好
[15:27] 那大家還有其他問題
[15:33] 那如果現場口之先進
[15:34] 沒有任何問題的話
[15:35] 我們今天會就先到這邊
[15:37] 感謝大家的參與
[15:38] 謝謝
