SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://www.youtube.com/watch?v=50wwIyq4BsM
VIDEO TITLE: replay (official channel replay)
CALL DATE: 08-13-2026
QUARTER: Q2 FY2026
# source label: Phison Q2 FY2026 (08-13-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 2238   characters: 25,343

---
[00:00] 今天我們有五千二十分的獎勵
[11:09] 在下半个月
[11:11] 下半个月
[11:12] 我们要向你示范
[11:13] 在Fyzen
[11:14] 做的
[11:15] 所以这就是
[11:17] 在
[11:18] 第一层
[11:18] 我们在
[11:20] 控制
[11:21] 然后我们移动
[11:22] Cosmode
[11:22] Modules
[11:24] 产业
[11:25] 我们现在做的
[11:27] 但是接下来
[11:28] 这是我们的接下来
[11:29] 接下来
[11:30] 是我们的
[11:31] AIR Storage
[11:32] 和AIR Platform
[11:33] 我们要
[11:35] 展示
[11:36] 稍后展示
[11:37] 好吗
[11:39] 所以CQ2
[11:40] 这是
[11:41] 展示你
[11:42] 我们的
[11:44] 产业
[11:45] 这是产业
[11:47] 控制
[11:48] 在
[11:48] 前几个月
[11:49] 我们在
[11:51] 我们的
[11:52] 控制
[11:52] 是
[11:53] 40 x
[11:55] 60 x
[11:56] 为什么
[11:57] 你可以看到
[11:58] AIR Networking
[11:59] 只有这一半
[12:00] 我们有
[12:01] 6 新
[12:02] design wins
[12:03] 计较
[12:04] 是一个大计较
[12:05] 然后
[12:06] 在
[12:06] 无论CSP
[12:08] OEM
[12:09] 最近我们
[12:09] 就是赢了SR2 OEM
[12:11] 和AIR Storage System
[12:13] 传统
[12:13] Near Cloud
[12:14] 我们有2 新
[12:15] design
[12:16] design win
[12:17] Infa
[12:18] 我们有1 新
[12:19] design win
[12:20] AI Chip
[12:21] Ecosystem
[12:21] 我们有1 新
[12:22] design win
[12:23] 这是
[12:23] Pool Drive
[12:25] 接下来的主要
[12:26] 我们也有
[12:27] 很多
[12:28] design win
[12:31] CSP
[12:32] OEM
[12:33] AI Storage System
[12:35] Infa
[12:36] 我们有2 新
[12:37] Near Working
[12:38] 这是
[12:38] 特殊1
[12:39] 大计较
[12:40] AI Networking
[12:42] Mand Drive
[12:43] 不Pool Drive
[12:44] 所以
[12:44] 在AIR ecosystem
[12:46] 我们在
[12:47] Mand Drive
[12:48] 创造了很多
[12:49] SR5
[12:51] Pool Drive
[12:51] 创造了很多
[12:52] 客户
[12:53] 所以
[12:54] 我们现在
[12:55] 是
[12:57] 在这一片
[12:58] OK
[12:58] 请认识
[12:59] Fyzen
[13:00] 是无人
[13:02] 我们在AI
[13:03] Ecosystem
[13:06] 这是
[13:06] 我们新的design win
[13:08] 刚刚展示
[13:08] 我们在
[13:09] 5G
[13:10] Face Station
[13:11] 我们在EMC
[13:12] 我们在
[13:12] Mandic
[13:14] 我们在
[13:15] 很多
[13:15] 转换
[13:18] 分享一下
[13:19] 我们的
[13:20] 财务
[13:22] 我们有
[13:23] PCIe Gen5
[13:25] 已经在MP
[13:26] 我们已经在
[13:28] 30%多的
[13:29] 财务
[13:30] AI 我们将
[13:31] 展示
[13:31] 我们的
[13:32] 财务
[13:34] GEN6
[13:35] 我们是
[13:36] GEN6
[13:38] 我们将展示
[13:39] 我们的
[13:40] GEN6
[13:40] 我们将展示
[13:41] 我们的
[13:42] 财务
[13:42] 我们将
[13:43] 进入
[13:44] AI
[13:45] Ecosystems
[13:46] 我们已经
[13:47] 已经
[13:49] 创造了很多
[13:50] 不过
[13:51] 我们已经
[13:52] 创造了很多
[13:53] 但是
[13:54] 现在我们要
[13:55] 确保我们能得到财务
[13:58] Cline E37
[13:59] 是世界最佳
[14:00] 表现
[14:01] 我们赢了
[14:01] 几个大OEM
[14:02] 计划
[14:03] 最近
[14:04] Mobile
[14:04] 这是
[14:05] 3.0
[14:06] 刚刚想要
[14:07] Facen
[14:07] 是
[14:07] 非常重要的
[14:08] 计划
[14:09] 在Mobile
[14:09] 计划的
[14:10] 控制器
[14:12] 这是
[14:13] 我们确定
[14:14] 在
[14:15] Compute
[14:15] 计划
[14:16] 我们的
[14:16] 245
[14:17] TB
[14:18] 但是
[14:19] 这是
[14:20] 财务
[14:21] 好到MP
[14:21] 但是
[14:22] 最近
[14:22] Castman
[14:23] 没有
[14:23] 能财卖
[14:24] 财卖
[14:25] 超级
[14:26] 超级
[14:26] Castman
[14:27] 现在
[14:27] 回到
[14:28] 64TB
[14:31] 其实
[14:32] 我们是
[14:32] 好到
[14:33] 我们能
[14:34] 多支援
[14:35] 多控制器
[14:36] 多系统
[14:41] 这是我们的
[14:41] Genset
[14:42] 控制器
[14:43] 第一个
[14:43] 我们要去MP
[14:45] 直接
[14:45] 没有 any ECO
[14:46] 这
[14:47] 再次
[14:47] 给
[14:48] Fracen
[14:49] 计划
[14:49] 是非常
[14:50] 强
[14:51] 如何做
[14:51] 强
[14:52] 再次
[14:53] 强
[14:54] 强
[14:54] 计划
[14:55] 所以
[14:55] 这一项
[14:56] 我们要
[14:57] 到
[14:57] November
[14:58] 然后
[14:58] 我再次
[14:59] 继续
[14:59] 我们已经
[15:00] 有一个
[15:01] 计划
[15:01] 但是
[15:02] 我们仍然
[15:03] 知道
[15:03] 如果我们能
[15:04] 足够得到
[15:05] 权利
[15:05] 这
[15:06] 是64TB
[15:07] 计划
[15:10] 这是
[15:10] E37
[15:11] 我们
[15:11] 有
[15:12] 很多
[15:12] 计划
[15:13] 说
[15:13] 这
[15:13] 这是
[15:14] 最
[15:14] 最
[15:15] 最
[15:15] 最
[15:16] 最
[15:16] 最最强
[15:16] 控制器
[15:17] 在世界
[15:17] 好
[15:18] 我们
[15:18] 赢了
[15:19] 沙拉
[15:19] PC
[15:20] OEM
[15:20] 而且
[15:21] 他们的
[15:21] 名项
[15:21] OEM
[15:22] 生育
[15:24] 好
[15:25] 这
[15:25] 我们
[15:26] 继续
[15:26] 在那里
[15:27] 多年
[15:27] 如果你跟我们一起去,我们会知道这些东西
[15:30] 我们有一个货币的货币
[15:34] 我们在POC工作
[15:36] 用MinaTech来使用UFS4的控制器
[15:39] 用MinaTech来发展
[15:42] 达到Mobile Phone的达到POC Pass
[15:46] POC在做得好
[15:47] 我们能让MPU
[15:50] 问求24GB的LP5
[15:54] 下达到12GB
[15:56] 但还能够保持Model的运动力
[16:01] 使用UFS的控制器
[16:04] 这些POC在做得好
[16:06] 希望我们能看到这些
[16:08] 在下个年之后的市场
[16:10] 这些是Fyzen Innovation
[16:15] Cuputex
[16:20] Fyzen 能够提供
[16:22] 电脑的转换
[16:24] 你可以查看这些 from YouTube
[16:26] 你可以查看我用的
[16:28] 但我去查看
[16:29] 这些小PC
[16:31] AIPC AI on device
[16:33] 可以使用120B model
[16:36] 用32GB of a DVIM
[16:39] 你会知道DVIM的短缩
[16:41] 我们完全相信
[16:43] AI on device
[16:44] AI on PC
[16:46] Letap
[16:47] Letap 会发生在下个年之后
[16:50] 但不过DVIM的短缩
[16:52] 达到的就是达到的
[16:54] 我们也确定
[16:58] 我们的货币和货币
[17:00] 和SROC的货币
[17:02] 和S-ROC的货币
[17:04] 这些货币已经是货币
[17:06] 不仅是一个计划
[17:08] 这些是我们的
[17:10] 计划
[17:12] AI C Pekatron 和WD
[17:14] 好
[17:18] 我会向你介绍
[17:20] Fyzen 能够提供
[17:22] 很多货币
[17:24] 发布的货币
[17:26] 为什么是WD
[17:28] WD是一个小的货币
[17:31] 因为这是新的经济
[17:33] 我们需要很多
[17:35] 货币和货币
[17:37] 而且需要很多的货币
[17:39] 所以
[17:40] WD是一个货币
[17:42] 所以我们要
[17:44] 发布CBC 和CBBC
[17:46] 发布货币
[17:48] 来帮助他们
[17:50] 发布货币
[17:52] 进入我们的计划
[17:54] 再次介绍
[17:56] 我还不能告诉你
[17:58] 我们的货币
[18:00] 但是
[18:02] 再次介绍
[18:04] 这不是POC
[18:06] 这已经在经济上
[18:08] 我们的AI 和SST
[18:12] 和我们的SOS
[18:14] 和我们的SOS
[18:16] 在台湾
[18:18] 有超过10个货币
[18:22] 这已经是WD
[18:24] 但WD是小的
[18:26] 我们还要
[18:28] 发布货币
[18:30] 每个货币
[18:32] 每个货币
[18:34] 每个货币
[18:36] 如果他们要发布
[18:38] AI 和POC
[18:40] 最多是
[18:42] 只能发布货币
[18:44] 我们有
[18:46] 超过30%的货币
[18:48] 货币
[18:50] 这就是
[18:52] Fyzen Adaptive AI Data Platform
[18:54] 和FHIR Systems
[18:56] 今天我没有时间
[18:58] 如果有关你的意见
[19:00] 去查看Internet
[19:02] FHIR
[19:04] 接下来的订阅
[19:06] Fyzen会再次
[19:08] 介绍我们的货币
[19:10] 在这种
[19:12] AI Data Platform 货币
[19:14] 我们也会发布
[19:16] 超过20%的SME
[19:18] SME
[19:20] 小小的货币
[19:22] 我们也会发布货币
[19:24] 我们也会发布货币
[19:26] 我们也会发布货币
[19:28] 这一年
[19:32] 我们有信心
[19:34] 赢货币
[19:36] 超过100%的货币
[19:38] 为Fyzen AI Data Platform
[19:40] 发布货币
[19:42] 我们的
[19:44] 新的货币
[19:46] 政府
[19:48] 货币
[19:50] 教育
[19:52] 我们也会发布
[19:54] AI Data Center
[19:56] 发布货币
[19:58] 我们的货币
[20:00] 我们的新的货币
[20:02] 我们是新的货币
[20:04] 我们在中国
[20:06] 因为我们是台湾的
[20:08] 现在我们
[20:10] 在中国的表现
[20:12] 我们有一个
[20:14] 货币货币
[20:16] 我们开始发布货币
[20:18] 我们在美国
[20:20] Fyzen已经有一个
[20:22] 新的货币
[20:24] 我们新的货币
[20:26] 我们在汉州
[20:28] 开始发布货币
[20:30] 我们的货币
[20:32] 我们的货币
[20:34] 我们的货币
[20:36] 我们的货币
[20:38] 我们的货币
[20:40] 我们的货币
[20:42] 我们的货币
[20:44] 我们用他们
[20:46] 开始发布货币
[20:48] 我们在印度
[20:50] 我们有一个GV
[20:52] 我们将这些技术
[20:54] 给他们
[20:55] 传辑我们的新的货币
[20:57] 所以
[20:58] 再次
[20:59] 我们将再告诉你
[21:03] 所以
[21:04] 这是我们的AI PC
[21:06] AI On Device
[21:08] 很多活动
[21:10] 很多发布货币
[21:12] 从现在开始
[21:14] 很多活动
[21:15] 为AI PC
[21:17] 或Agentic Notebook
[21:20] 这一切
[21:21] 发生了
[21:22] Fyzen的达到
[21:23] 是我们的解决
[21:26] 所以
[21:27] 我们一直在问
[21:29] WU
[21:31] 不过
[21:32] 还没有发生过
[21:33] 但是
[21:34] 这一切是我们的努力
[21:36] Fyzen有很大的
[21:37] 投资
[21:38] 在这里
[21:42] 我们的担心
[21:44] 但是
[21:45] 我们还保持
[21:46] 第一个货币
[21:47] 我们仍然有
[21:48] 22%的投资
[21:50] 在R&D
[21:51] 这些
[21:52] 在Ricohide
[21:53] 我们继续
[21:54] 推动
[21:55] R&D的更多的
[21:56] 发布
[21:57] 所以
[21:59] 在过去的
[22:01] 年底
[22:02] R&D投资
[22:04] 是13BNT
[22:05] 现在是24BNT
[22:06] 所以
[22:07] 这是一件事
[22:08] 我们很细腻
[22:10] 所以我们继续
[22:11] 发布
[22:12] 更多的
[22:14] 发布
[22:15] 而还有
[22:16] 最终
[22:17] 仍然有
[22:18] USB
[22:19] 而主要的
[22:20] 投资
[22:21] 是
[22:22] 这一切
[22:23] 最终
[22:24] 换了
[22:25] 非常厉害
[22:26] 我们的
[22:27] 投资
[22:28] 而在
[22:29] 在过去的
[22:33] 年底
[22:34] 第二个
[22:35] 我们
[22:36] 发布
[22:37] 新文化
[22:38] 静招
[22:40] 这次
[22:41] 已经
[22:42] 已经有一个公司了
[22:44] 很多的联系在发生
[22:48] 所以我再次让大家知道
[22:51] 我们在下一个阶段的时间
[22:53] 你们会看到更多的
[22:54] 这是我们叫Info as a hardware
[22:57] CQ Server from the ODM EMS
[22:59] Fighting Adaptic H
[23:00] Fighting define our own storage server
[23:03] with our SSD
[23:04] 我们发展每个software
[23:06] HCI,很多的功能
[23:08] 我们认为我们的传统
[23:10] 我们的传统传统
[23:12] 我们发展各种功能的功能
[23:16] 我们认为它是好用的
[23:18] 然后我们开始CVC
[23:21] 进行发展
[23:24] 支持很多新的ISV
[23:27] 进行发展
[23:29] Fighting AI Data Platform
[23:31] Fighting in-house
[23:34] 我们现在在内地推动
[23:36] 使用Fighting AI on-premise
[23:38] 我们有一个AI Server
[23:39] Fighting in-house
[23:41] 他们的计划开始很重
[23:43] 每个月的课
[23:44] 我推动他们使用更多的
[23:46] 计划在内地
[23:49] 将会发展到Fighting in-house
[23:51] 114Mhz的计划
[23:54] 一年之内
[23:55] 我们能够把每个
[23:57] 计划的投资
[23:59] 你们不可以相信
[24:00] 所以这事就发生了
[24:02] 我们在Fighting AI
[24:05] 我们使用的
[24:06] 主要是AI Agent and AI Copilot
[24:09] 我没有想过去调整
[24:10] 但是这要展示你们
[24:12] 我们在AI的动作中
[24:15] 在计划中
[24:16] 我们有很多的
[24:17] 计划动作
[24:19] 在这里使用AI
[24:20] 来进行
[24:22] 我们的计划
[24:24] 计划和 also the performance
[24:27] 从我发现Fighting
[24:30] 我们的名字是Agenting Hub
[24:32] 这叫Agenting Hub
[24:34] 我可以发展很多计划
[24:37] Fighting 用大型的计划
[24:40] 我们的Odm 台湾
[24:42] 买了MVDia
[24:44] 更多的50MUSD
[24:46] GPU 卡通 计划
[24:48] 我们将在一步步的
[24:50] 计划进入我们的计划中
[24:52] 我们也将计划
[24:54] data center 外面
[24:55] 把计划放在那里
[24:57] 为什么
[24:58] 因为
[24:59] 我们将发展
[25:01] 这些
[25:03] 500HK 研访
[25:05] 的计划
[25:07] 我们将不将
[25:09] 计划多的计划
[25:11] 计划
[25:12] 但我们仍然
[25:13] 增加了
[25:14] 计划
[25:16] 计划
[25:17] 计划
[25:18] 计划
[25:19] 计划
[25:20] 计划
[25:21] 计划
[25:22] 计划
[25:23] 计划
[25:24] 计划
[25:25] 计划
[25:26] 计划
[25:27] 计划
[25:28] 计划
[25:29] 计划
[25:30] 计划
[25:31] 计划
[25:32] 计划
[25:33] 计划
[25:34] 计划
[25:35] 计划
[25:36] 计划
[25:37] 计划
[25:38] 计划
[25:39] 计划
[25:40] 计划
[25:41] 计划
[25:42] 计划
[25:43] 计划
[25:44] 计划
[25:45] 计划
[25:46] 计划
[25:47] 计划
[25:48] 计划
[25:49] 计划
[25:50] 计划
[25:51] 计划
[25:52] 计划
[25:53] 计划
[25:54] 计划
[25:55] 计划
[25:56] 计划
[25:57] 计划
[25:58] 所以在此 end if you are the heavy users
[26:05] you only choice is go to on premiss
[26:07] After your server all depreciate
[26:10] it means that the compute power is all you can eat by free
[26:14] You pay only the power supply fee
[26:17] So, this to show you 5 Cent was a users
[26:19] Unfortunately, we can find the solution
[26:22] we forced ourself to become provider
[26:24] Now, we are a developer
[26:26] from user to developer
[26:28] 我们的AI能够帮助我们的全球技术技术
[26:33] 现在我们要回到购买
[26:35] 那么我们的接下来的结构
[26:38] 我们会分享更多的
[26:39] 好的
[26:40] 那么下一步
[26:41] Fyzexon会为M2小级大级的购买
[26:45] V2B AI
[26:46] 在全球购买的购买
[26:49] 不仅是台湾
[26:50] 但也为North America
[26:53] 南亚 美国 印度
[26:55] 希望 下年我们能够拥挤国外
[26:59] OK 暂时
[27:01] 我觉得 没有必要花时间
[27:03] 来说 如何 能够 充分
[27:05] AI 改变了所有的
[27:08] Fighting 是 从 控制
[27:10] 公司 公司 联系
[27:12] 设备
[27:13] 现在
[27:14] 产生 主动 主动
[27:16] 现在 我们 会 作为 系统
[27:19] 解决 提供 提供
[27:21] OK 这 这 为何
[27:22] 我们需要保持重量的投资
[27:24] 在我们的 公司
[27:25] 我们要建立 自己的 自己的 公司
[27:29] 当然
[27:29] 我们也需要 联系
[27:31] 每个 主动 主动 主动
[27:33] 我们相信 我们的 公司 联系
[27:37] 可以 帮助 很多 公司
[27:40] 系统 联系
[27:42] 利用
[27:43] 这是 我们的 次 次
[27:46] 和 次 次
[27:47] 但是 我们已经 投资了 三 半年
[27:50] 最后 能看 准备 哪些事情 将 生 过
[27:55] OK 最后 Fighting 是 新 联系
[27:58] 我们继续 继续 投资
[28:00] 正在 找 方法 提 帮 Fighting 进行 公司
[28:04] 继续 继续 支 与 コ 福 发
[28:07] OK 与 两 年 这 里
[28:09] 我们 继续 继续 支 与 经 生活
[28:12] 在 这 里
[28:13] 我们 业 帮 政府
[28:16] 我们 设 委 部 政府
[28:18] 这 都是 彻底
[28:19] 最后的经济是我们正在做到的
[28:21] 产业的利润
[28:23] 这次我们不想做到的
[28:25] 为何
[28:27] Fyzen需要很多的钱
[28:29] 为我们的生产
[28:31] 能帮助Fyzen
[28:33] 帮助Fyzen
[28:35] 帮助Fyzen
[28:37] 帮助Fyzen
[28:39] 帮助Fyzen
[28:41] 转变了2.0
[28:43] 帮助Fyzen
[28:45] 从码军
[28:47] 我们需要钱
[28:49] 我们需要钱
[28:51] 我们想用
[28:53] 帮助Fyzen
[28:55] 帮助Fyzen
[28:57] 在我们的货币
[28:59] 在我们的货币
[29:01] 是2.87亿
[29:03] 在我们的货币
[29:05] 我们仍然有很好的钱
[29:07] 我们仍然有很好的钱
[29:09] 希望
[29:11] 在Fyzen
[29:13] 将来
[29:15] 希望我们能做到更多的货币
[29:17] 我们是有点费力
[29:19] 我们可以
[29:21] 有更多的货币
[29:23] 在下一周
[29:25] 但这些不可辜负
[29:27] 我们的货币
[29:29] 我们的货币
[29:31] 我们能够
[29:33] 得到货币
[29:35] 从货币
[29:37] 所以,有些人很高兴
[29:39] 但有些人
[29:41] 不想我
[29:42] 不想那么多
[29:43] 他们希望
[29:45] 保持货币
[29:47] 帮助货币
[29:49] 赶快
[29:51] 得到更多的货币
[29:53] 所以,让我确认
[29:55] 在过去的过程中
[29:57] Fyzen,我们在货币
[29:59] 我们将得到55%
[30:01] 大家很高兴
[30:03] 但,现在我们的货币
[30:05] 我们的货币
[30:07] 在WNU
[30:09] 在货币
[30:11] 在货币
[30:13] 这些
[30:15] 在货币
[30:17] 我们的货币
