SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://www.youtube.com/watch?v=-u2BzwbeDqg
VIDEO TITLE: 【完整公開】鴻海第二季法說會 聚焦AI及營運展望 @投資看非凡
CALL DATE: 08-12-2026
QUARTER: Q2 FY2026
# source label: Foxconn Q2 FY2026 (08-12-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 1535   characters: 16,479

---
[00:46] 各位投資以及媒體先進大家好
[04:36] 所得稅利為26.2%
[04:39] 較去年同級增加2.2%
[04:42] 主要原因是
[04:43] 子公司獲利成長
[04:45] 預估盈餘會回
[04:46] 所得稅體列增加26億所致
[04:50] 第二季稅後淨利為600億元
[04:53] 較去年同級成長35%
[04:57] 較去年同級增加35%
[05:03] 較第一季成長20%
[05:06] 創下利年同級新高
[05:09] EPS為4.27億元
[05:12] 較去年同儀增加1.08元
[05:15] 成長34%
[05:18] 較第一季增加20%
[05:20] 同樣創下利年的同級新高
[05:23] 整體來看
[05:24] 第二季的營收持續成長
[05:27] 本季獲利成長更快於營收
[05:30] 核心營運表現維持強勁
[05:33] 接下來請大家看到第七頁
[05:35] 上半年的損益表
[05:39] 2022年上半年營收為新台幣4.65兆元
[05:42] 年增35%
[05:45] 營業利益為1705億元
[05:48] 年增65%
[05:50] 稅後淨利為1099億元
[05:54] 年增27%
[05:56] EPS為7.84元
[05:58] 年增26%
[06:00] 其中營業利益
[06:01] 淨利和EPS都創下利年的同級新高
[06:06] 如果從上半年整體表現來看
[06:09] 營業利益的成長幅度明顯高於營收
[06:12] 顯示隨時營運規模擴大
[06:15] 公司的獲利能力也同步提升
[06:19] 上半年毛利率為6.15%
[06:22] 較去年同級下降0.08%
[06:26] 但毛利金額仍成長33%
[06:29] 同時營業利益提升至3.67%
[06:34] 較去年同級增加0.67%
[06:38] 也就是說雖然產品組合變化時
[06:41] 毛利率略有下降
[06:43] 但透過營收規模成長及費用效率改善
[06:46] 營業利益仍持續提升
[06:50] 在資本使用效率方面
[06:52] 上半年ROE為6.21%
[06:55] 較去年同級增加0.73%
[06:59] 反映公司在營運規模快速成長的同時
[07:03] 核心獲利能力及資本使用效率
[07:06] 也持續的提升
[07:08] 整體而言上半年營運規模
[07:11] 營業利益及美股獲利均維持成長
[07:15] 本頁獲利成長幅度高於營收
[07:17] 整體營運表現穩健
[07:20] 接下來請看簡報第8頁
[07:23] 資產負債表
[07:25] 截至2022年6月底
[07:27] 帳上現金加上定存金額為1.52兆元
[07:32] 進現金為2198億元
[07:35] 較去年同級減少238億元
[07:38] 主要反映營運規模持續擴大
[07:41] 帶動營運資金需求增加
[07:44] 在營運資金管理方面
[07:46] 第二季現金週短簽數為42天
[07:49] 較去年同級減少6天
[07:52] 若排除營收帳款管理工具的影響
[07:55] 現金週短簽數為52天
[07:57] 較去年同級仍改善2天
[08:01] 這顯示在營運規模快速的成長情況之下
[08:05] 公司營運資金管理效率仍持續改善
[08:09] 本期負債比例為62%
[08:12] 整體維持穩定
[08:13] 財務結構人數穩健
[08:16] 最後請看簡報第9頁
[08:18] 現金流量表
[08:20] 2022年上半年
[08:22] 隨著營運規模快速成長
[08:24] 營收帳款及存貨等
[08:26] 營運資金投入也同步的增加
[08:29] 因此營運活動現金流為
[08:31] 進流出691億元
[08:34] 上半年自由現金流出
[08:36] 為進流出1500億元
[08:38] 主要受到營運資金投入增加
[08:40] 及資本支出的影響
[08:43] 資本支出方面
[08:44] 上半年為809億元
[08:47] 年增5%
[08:48] 複合預期
[08:50] 整體而言
[08:50] 今年上半年業務快速成長
[08:53] 帶動營運資金及資本支出需求增加
[08:56] 使現金流會有階段性流出的狀況
[08:59] 但營運周轉效率持續改善
[09:02] 獲利及營運規模維持成長
[09:04] 財務結構仍然穩健
[09:07] 以上是2026年
[09:09] 第二季財務報表的檢驗報告
[09:12] 接下來我們把時間交給
[09:13] 輪值CEO蔣總 Michael
[09:16] 謝謝David
[09:18] 各位投資先進大家好
[09:20] 我是輪值CEO蔣吉恆 Michael
[09:23] 今天非常開心又跟大家見面
[09:27] 向各位來說明鴻海第二季的表現
[09:29] 以及未來展望
[09:32] 首先我們先回顧第二季的營運
[09:35] 我們第二季的營收創下了同期新高
[09:38] 表現也超越了五月法說會時候的展望
[09:42] 季對季年對年都達到強勁成長
[09:46] 四大產品的表現也都優於預期
[09:50] 其中雲端網路產品季對季
[09:52] 達到了強勁成長
[09:54] 因為第二季是ICT產品的傳統淡季
[09:58] 所以雲端網路產品的比重更加的提高
[10:01] 佔比首次突破了五成
[10:05] 從整體的獲利性來看
[10:07] 第二季的營業利益以及稅後淨利
[10:09] 都創下歷年同期新高
[10:12] 尤其是第二季單季的營業利益
[10:15] 達到了948億
[10:18] 不只計增年增的比例很高
[10:21] 更是創下了歷年單季的最高紀錄
[10:24] 代表我們本業的核心獲利能力
[10:27] 也在大幅的提升當中
[10:30] 對我來說成長不只是規模的擴大
[10:34] 更重要的是能不能轉化成更好的獲利
[10:38] 這也是我接任輪值CEO以後
[10:41] 持續推動的方向
[10:42] 就是做大規模也要把獲利做得更好
[10:47] 接下來我來說明我們對第三季的掌望
[10:51] 第三季AI營運將會繼續的成長
[10:54] 加上ICT產品也要進入下半年的旺季
[10:58] 預期季對季將顯著成長
[11:01] 年對年則達到強勁成長
[11:05] 在雲端網路產品方面
[11:07] AI需求維持高速的成長
[11:09] CSV客戶增加資本支出
[11:12] 我們的AI機櫃持續放量
[11:15] 預期季對季年對年
[11:17] 都將有強勁成長的表現
[11:21] 在消費智能產品方面
[11:23] 因為已經進入了傳統的旺季
[11:26] 預期在第三季將比上一季
[11:29] 以及去年同期都會有顯著的成長
[11:33] 電腦中端產品的部分
[11:36] 因為新產品的需求高峰已過
[11:38] 加上記憶體供應緊張
[11:41] 我們預期第三季
[11:43] 相比第二季將會有略微衰退的現象
[11:47] 但也因為部分零組件價格提升
[11:50] 帶動了出貨價格的上漲
[11:52] 因此和去年同期相比
[11:54] 將會顯著成長
[11:57] 至於元件以及其他產品類別
[12:00] 因為主要業務相關的零組件
[12:02] 包括相機模組
[12:04] 連接器等出貨的成長
[12:06] 預期年對年將有顯著成長的表現
[12:11] 在全年展望的部分
[12:13] 我們維持強勁成長的看法不變
[12:16] 但是能見度比五月的時候又更好一些
[12:20] 原因還是因為AI伺服器的需求非常強勁
[12:25] 在這裡我也想跟大家分享
[12:28] 鴻海在AI時代的直變
[12:31] 從2024年開始
[12:33] AI伺服器的營收持續的拉高
[12:36] 逐步的成為集團最重要的成長引擎
[12:39] 每一季營收都維持雙位數的年增幅度
[12:43] 而且這個動能在過去一年明顯的加速
[12:48] 此外AI伺服器屬於基礎建設
[12:51] 季節性的波動比較小
[12:53] 所以一年四季營收的表現都更為穩定
[12:58] 抵消了消費電子產業淡忘機的波動程度
[13:02] 過去那種五窮六掘的情況已經不明顯了
[13:07] 我們剛公佈的七月營收
[13:09] 第一次突破了單月9000億元的大關
[13:14] 在忘記開始之前就創下了
[13:16] 歷年單月新高的紀錄
[13:19] 這也充分的證明AI需求的爆發力
[13:22] 以及我們在AI供應鏈中的核心地位
[13:26] 上一次法說會裡
[13:28] 我跟各位分享了幾項財務的亮點
[13:31] 在過去的一季
[13:32] 我們看到這些指標持續向正向的發展
[13:37] 比上半年來看
[13:39] 營業利益成長65%
[13:41] 優於營收及毛利的成長幅度
[13:45] 反映了AI的規模放大
[13:46] 而自動化效益提升
[13:48] 讓核心業務的獲利能力大幅的加強
[13:53] 因為交易模式的關係
[13:55] 我們可能無法控制毛利率的方向
[13:58] 但是絕對會持續獲利極大化的經營目標
[14:04] 在ROE的部分
[14:06] 集團上半年ROE已經達到了6%
[14:10] 比去年同期有明顯的提升
[14:13] 跟全年12%的目標接近
[14:16] 未來隨著AI業務成長
[14:19] 垂直整合的效益逐步顯現
[14:21] 我們認為集團整理的獲利能力
[14:24] 以及資本運用的效率
[14:26] 都還將持續的提升
[14:28] 我們相信ROE還會有進一步向上的空間
[14:33] 至於營業利潤率的表現
[14:36] 上半年達到了3.67%
[14:39] 比去年同期增加了0.67%
[14:44] 我們有信心
[14:45] 今年全年將會超越去年的3.2%的水準
[14:50] 再來跟大家分享一下現金流的狀況
[14:54] 上半年調整後的Ebida年增52%
[14:59] 比去年上半年增加了776億
[15:03] 遠高於資本支出以及利息增加的總額
[15:07] 顯示了鴻海的現金流越來越健康
[15:11] 明年的展望也很正面
[15:14] 我們看到客戶對AI的需求非常強勁
[15:17] 我們預期鴻海資本支出將會持續的增加
[15:21] 主要是提前擴充伺服器、機櫃、藝能
[15:25] 以及測試等關鍵的產能
[15:28] 並且強化全球製造以及自動化的佈局
[15:32] 這包括台灣、美國、墨西哥
[15:35] 以及越南等地都會擴產
[15:39] 這其中因應美國客戶的在地化需求
[15:42] 我們將會擴大德州、威斯康辛州、鴻海爾州
[15:47] 以及加州的研發與製造能力
[15:50] 我們可以樂觀的預期
[15:52] 這些資本支出在未來都會對營收、獲利
[15:56] 以及現金流產生非常顯著的效益
[16:01] 接下來,我將繼續向各位說明重要事業的進展
[16:07] 這一系列亮眼的財務數字以及強勁的成長展望
[16:11] 絕對不是憑公而來
[16:14] 而是有紮實的基礎在支撐
[16:17] 大家可能會好奇
[16:19] 在多變的外部局勢下
[16:21] 鴻海營運持續爆發的關鍵是什麼
[16:25] 我想利用這張金字塔圖
[16:28] 向各位深入說明集團核心的運作模式
[16:33] 在最底層是我們長期建立的全球布局與規模效益
[16:39] 鴻海在五六年前就認為區域製造是一個趨勢
[16:43] 所以大規模的建立再立化的產能
[16:46] 我們全球的廠區數量幾乎翻倍
[16:50] 近年來,因為地緣政治的局勢變化
[16:53] 導致各國對於在地供應鏈的重視
[16:57] 這也剛好呼應了鴻海先前的預期
[17:00] 如今鴻海在全球24個國家
[17:03] 超過240個據點的布局
[17:06] 讓我們能夠提前因應
[17:08] 更靈活的來調配產能
[17:10] 凸顯local for local的價值
[17:12] 來回應客戶的需求
[17:15] 中間這一層
[17:16] 則是我們長期升更的垂直整合以及高度自動化
[17:21] 鴻海的優勢
[17:22] 就是擁有高自治率的關鍵領主鍵
[17:25] 這讓我們面對高單價
[17:27] 高複雜度的AI產品
[17:29] 仍然能夠維持良好的營運效率與良率
[17:33] 更重要的是
[17:34] 既能滿足客戶對於一戰士服務的需求
[17:38] 也能夠凸顯我們的獲利能力
[17:41] 而且我們核心製程的自動化程度非常高
[17:46] 以現有規模最大的CNC、SNT等製程為例
[17:50] 我們自動化的比例已經接近100%
[17:54] 這些在大量量產時期
[17:56] 對於良率以及產出非常的重要
[18:00] 這也是我們領先的優勢之一
[18:03] 在這些能力的基礎上
[18:05] 最頂層的就是研發創新與高階的導向
[18:10] 近年我們持續加大新事業的研發投入
[18:13] 今年在3加3加3
[18:16] 以及研究院的研發支出接近200億元
[18:19] 年增40%
[18:22] 有了規模垂直整合以及製造能力的支撐
[18:26] 我們能夠與一線客戶共同開發
[18:29] 聚焦前瞻與自主技術
[18:32] 提升高附加價值產品的比重
[18:35] 推動鴻海朝向科技製造平台服務商來轉型
[18:40] 這三個層次
[18:41] 從規模打底到效率整合
[18:44] 最後到研發驅動高階價值
[18:47] 這就是鴻海能夠在此時此刻
[18:50] 完美承接全球龐大的AI需求
[18:53] 並在科技世代交替之中
[18:56] 持續領先的關鍵運作模式
[18:59] 有了前面說的模式
[19:01] 加上我們的規模
[19:03] 以及與客戶長期的夥伴關係
[19:05] 才能夠站穩一線AI客戶的主力供應商的地位
[19:10] 而且客戶最看重的
[19:12] 不只是單純的伺服器硬體
[19:15] 而是一戰士的系統交付能力
[19:18] 這正是鴻海的核心優勢
[19:21] 面對客戶建置資料中心的時效需求
[19:24] 我們不僅能夠提供AI伺服器與機櫃
[19:28] 更將價值鏈延伸到模組化資料中心
[19:31] 超算中心
[19:32] 以及建置主權AI的整體基礎系統
[19:37] 過去我們聚焦在北美大型的CSP業者
[19:41] 但現在已經逐漸擴展到NEOCloud
[19:45] 主權AI以及大型企業客戶
[19:49] 施戰率也在擴大當中
[19:53] 鴻海之所以能夠成為客戶的首選
[19:56] 我想在於我們擁有從零開始的夥伴關係
[20:00] 零到一的設計能力
[20:02] 以及從一到一百的全球規模化量產實力
[20:09] 我們能夠為客戶提供最領先的
[20:11] Time to market Time to cost
[20:14] 以及Time to technology
[20:16] 協助客戶用最快的速度
[20:19] 把AI算力部署上限
[20:22] 近年來北美主要的CSP業者
[20:25] 紛紛上調了資本支出的預算
[20:28] 今年預計將近接近8000億美元的水準
[20:32] 很快就會跨過一兆美元的門檻
[20:36] 這股史無前例的全球雲端投資浪潮
[20:39] 正是鴻海未來幾年最直接的成長動能
[20:44] 身為全球最大的AI伺服器供應商
[20:47] 不論是GPU還是ASIC晶片解決方案
[20:51] 我們一定會積極擴充產能
[20:53] 協助客戶落實這些龐大的資本投資
[20:58] 目前AI伺服器的需求還是非常的強勁
[21:01] 展望第三季
[21:03] 隨著新平台的推出
[21:05] 我們預期AI積貴出貨量
[21:07] 將比第二季呈現高雙位數的成長
[21:11] 並且帶動AI伺服器的營收
[21:13] 持續的計增
[21:16] 展望2026年全年
[21:18] 我們維持AI積貴出貨量
[21:20] 倍數以上成長的預期
[21:23] 也因為我們在GPU產品上
[21:25] 都是客戶的主要供應商
[21:27] 因此在這些客戶的ASIC專案上
[21:30] 我們也逐步的成為主要的合作夥伴
[21:34] 因此今年在ASIC方面
[21:36] 也會有很大的成長
[21:39] 另外在高速網路產品方面
[21:42] 我們維持上一次提出的目標不變
[21:45] 800G以上交換機全年的營收仍渴望倍增
[21:50] CPU全光交換機
[21:52] 也將按照計畫在第三季量產出貨
[21:57] AI對於鴻海的意義
[21:59] 不只是伺服器機貴
[22:01] 它更是轉型升級的核心驅動力
[22:06] 配合我們升工的三大未來產業
[22:09] 三大核心技術
[22:11] 將會形成一個極具技術壁壘
[22:13] 軟硬高度整合的平台化生菜系
[22:18] 我們的長期目標非常明確
[22:20] 就是從全球最重要的科技製造廠
[22:23] 進一步轉型為AI平台供應商
[22:28] 接下來再向各位說明
[22:30] 三加三加三的最新進展
[22:33] 首先是電動車
[22:35] 我們的CDMS模式持續的取得成果
[22:39] 海內外的市場布局
[22:40] 也正在穩步的展開
[22:43] 我們與日本三菱汽車合作的車款
[22:46] 將在下半年開始交車
[22:49] 與波蘭EMP合作
[22:50] 目標在歐洲的電動車專案
[22:53] 也開始推進
[22:54] 此外
[22:55] 與沙烏地阿拉伯合資的充電裝廠
[22:59] 也預計在第四季投產
[23:02] 在國內市場方面
[23:04] Model C的新車款
[23:05] Caveira
[23:06] 已經在7月開始交車
[23:09] 高雄新廠
[23:10] 也開始生產電動巴士
[23:12] 以及電巴電池
[23:15] 在數位健康方面
[23:17] 我們則是聚焦智慧醫療場域
[23:20] 平台整合
[23:21] 以及全球商用等三個方向
[23:23] 加速解決方案的落地
[23:26] 在機器人方面
[23:28] 第二季
[23:29] 我們在美國的工廠
[23:31] 導入了人型以及協作型的機器人
[23:34] 這是一個很重要的里程碑
[23:37] 後續
[23:38] 我們會透過整合Visical AI
[23:41] AI視覺力覺控制
[23:43] 以及數字軟身的技術
[23:45] 加速智慧組裝的升級
[23:48] 推動製造
[23:49] 從自動化
[23:50] 邁向自主化
[23:52] 同時
[23:53] 擴展高附加價值零組件
[23:54] 以及巨聲智慧平台的商機
[23:58] 在三大核心技術的進展方面
[24:01] 首先
[24:02] 在AI技術上
[24:04] 我們的布局
[24:05] 正從設施
[24:07] 一路延伸到平台和模型
[24:10] AIDC方面
[24:12] 我們整合算力
[24:13] 資料中心
[24:14] 和能源管理
[24:16] 推動AIDC的標準化和規模化
[24:20] 在主權AI方面
[24:22] 我們也持續在歐洲
[24:24] 非洲
[24:25] 和亞太市場推進落地
[24:27] 而我們的自主模型 Fox Brand
[24:30] 則持續改善模型架構和訓練效率
[24:34] 同時升化在地的知識
[24:36] 提升自主模型的能力
[24:38] 第二
[24:39] 在半導體方面
[24:41] 我們同步推進產能
[24:44] 關鍵晶片
[24:45] 以及設計服務的布局
[24:47] 日本八寸晶圓廠的訂單
[24:49] 能見度已經看到第四季
[24:52] Cillicone Cobbye
[24:53] 車用NCU以及AI電源晶片等自主技術
[24:58] 也都按照計畫在推進中
[25:01] 在新世代的通訊方面
[25:03] 我們持續布局低軌衛星
[25:06] 以及太空通訊技術
[25:08] 並且提供從地面設備
[25:10] 到衛星本體的完整製造服務
[25:15] AI的算力設備
[25:17] 是我們目前的硬體核心
[25:19] 而智慧製造
[25:21] 智慧電動車
[25:22] 以及智慧城市等三大平台
[25:25] 則是我們推動AI軟硬整合
[25:27] 以及平台創職的重要布局
[25:31] 在智慧製造方面
[25:32] Genesis平台已經完成場域的驗證
[25:35] 逐步的導入我們主要的場區
[25:38] 透過AI Agent快速的部署
[25:40] 以及跨場區的複製
[25:42] 我們將持續的提升生產效率
[25:45] 以及智慧製造的能力
[25:48] 在智慧電動車方面
[25:50] 我們持續推進電子電器架構
[25:52] 智慧座艙以及車雲數據平台
[25:55] 協助客戶加速開發與量產
[25:59] 在智慧城市方面
[26:01] CT GPT已經完成了標竿場域的驗證
[26:05] 並且開始推動跨城市
[26:07] 以及海外市場的複製
[26:10] 透過三大智慧平台的軟硬整合
[26:13] 我們將持續推動集團
[26:15] 朝全球領先AI平台供應商的目標邁進
[26:20] 最後我想為大家做一個總結
[26:24] ICT AI EV這三個大的產業
[26:28] 正驅動的集團轉型升級
[26:31] 鴻海已經進入了新一輪的成長軌道
[26:35] 成為獲利能力大幅向上的成長型企業
[26:40] 我們也會嚴守財富紀律
[26:42] 提升股東權益
[26:45] 鴻海的三層運作模式
[26:47] 提供了系統的解決方案
[26:49] 而非單一的硬體產品
[26:52] 搭配我們速度
[26:54] 品質
[26:55] 工程服務
[26:56] 彈性以及成本的五個核心價值
[27:00] 絕對是AI客戶在GPU以及ASIC
[27:04] 還有各項相關硬體的合作首選
[27:08] 客戶資本支出增加
[27:10] 鴻海市占率也提升
[27:12] 因此我們還會擴大資本支出
[27:15] 擴展全球的產能
[27:17] 並延伸價值鏈
[27:19] 我們一定會抓緊每一個客戶
[27:22] 每一個商機
[27:24] 接下來
[27:25] 我請Jens跟大家說明我們近期的重大事件
[27:30] 好 謝謝蔣總
[27:31] 接下來就由我來說明近期的重大事件
[27:35] 首先股東會通過了109億的現金股利案
[27:39] 每股配發現金7.2元
[27:42] 這也是我們連續第七年
[27:44] 現金股利的配發率都超過五成
[27:47] 在策略合作上面
[27:49] 我們跟Intel共同推動次世代的AI平台
[27:53] 我們跟Schneider也推動次世代的AI資料中心
[27:57] 以及綠色的能源方案
[27:59] 另外我們跟Tales以及Hardio的風色上
[28:03] 也在法國正式的動工
[28:06] 在展覽方面
[28:07] 在今年的Computes
[28:09] 我們展示了最受主步的次世代平台
[28:12] VR入并機柜
[28:14] CPU的高速網路技術
[28:16] 以及三大平台的深層次AI應用
[28:20] 此外我們也第一次參加法國的VivaTec
[28:23] 像歐洲展示的我們在AI and EV的Booch
[28:27] 並且在日本的台灣形象展中
[28:30] 展示了我們的Model AB
[28:32] 兩款的電動車
[28:33] 以及AI模組化的資料中心
[28:36] 也吸引了不少日本的夥伴
[28:39] 從我的研究院
[28:40] 進行了吸手的揚名交代
[28:43] 研發出超大容量的細光子技術
[28:46] 為超算與通行的傳輸
[28:48] 奠定了最關鍵的技術里長輩
[28:51] 在研發的能量上面
[28:53] 在今年上半年
[28:55] 我們一共累積發表的會議
[28:58] 以及期刊的論文各48篇
[29:00] 而且也取得了16件的一個專利
[29:03] 這都展現出紅海在關鍵的前沿技術上面
[29:07] 擁有GT-SARS的自主的研發能量
[29:11] 近期我們也受到了許多國際的肯定
[29:14] 在EXCEL的評選當中
[29:16] 我們獲得了最受尊崇企業
[29:18] 以及其他的七項大獎
[29:20] 在全球的500強當中
[29:22] 我們一舉提升了5位
[29:24] 來到第23名
[29:27] 除了公司整體的表現之外
[29:29] 我們的同仁也大方一鏟
[29:31] 原區長楊秋錦
[29:33] 入選全球最具影響力的商界旅行
[29:36] 人質長夏國安也榮獲顛度最佳的人質長
[29:40] 美國的人質總監Winnie
[29:42] 也獲得了STEP 獎項的肯定
[29:45] 另外在研發的領域
[29:46] 我們的張清睿董事
[29:48] 也榮獲了AUMAS獎
[29:50] 研究院半導體所的洪宇恆博士
[29:53] 也獲選為優秀青年的工程師
[29:56] 再來是EXC的方面
[29:58] 我們擴大全球第三方的機合
[30:01] 累積完成了85場RBAVAP的機合
[30:04] 並且取得六張最高規格的白金級認證
[30:08] 在綠色能源方面
[30:10] 我們與Bloodfield建立在越南
[30:12] 可再生能源的活放關係
[30:15] 我們也連續三年
[30:16] 發表了供應商的責任報告書
[30:19] 洗手供應店一起來落實
[30:21] 永續的承諾
[30:23] 在人才的培育上面
[30:25] 今年的鴻海科技獎反應非常熱烈
[30:28] 我們一共吸引了海內外
[30:29] 超過200件優異的學術作品
[30:33] 另外在越南我們也舉辦競賽
[30:35] 來培育在地的主持人才
[30:38] 在員工共和海方面
[30:39] 我們在做法克
[30:41] 舉辦了志工週跟夏日的家庭日
[30:44] 在捷克我們也舉行了科技日
[30:46] 在台灣也舉辦了溫馨的家庭日
[30:49] 來凌聚員工跟家庭的向心力
[30:53] 最後我非常開心的跟大家
[30:56] 2020年鴻海科技日
[30:58] 將在10月30號跟31號
[31:00] 在南港展覽館的一館登場
[31:03] 這一次我們再次擴大規模
[31:06] 包含一樓跟四樓的大型展區
[31:09] 10月30號星期五
[31:12] 為限定的受邀冰客日
[31:14] 10月31號星期六
[31:16] 正式開放給一般的民眾
[31:18] 免費參觀
[31:20] 在四樓的展區
[31:22] 我們將完成呈現三大智慧平台
[31:24] 跟AI深度融合的最新技術成果
[31:28] 也會發表最新的產品
[31:30] 在一樓展區
[31:31] 我們首度打造了親子館
[31:34] 以科技的教育為主
[31:36] 推出包含一種序
[31:38] 未來移動以及智慧城市等
[31:40] 五大特色展區
[31:42] 並且提供超過10種
[31:44] 豐富的職業體驗
[31:45] 讓科技跟教育能夠從小達根
[31:49] 這不僅是鴻海軟硬整合
[31:51] 由製造賣家AI平台的年度活動
[31:55] 也會是一場
[31:56] 親子同歡的科技嘉年華
[31:59] 我代表鴻海集團
[32:00] 誠摯的邀請各位朋友共同參與這場盛會
[32:04] 以上為簡報的內容
[32:06] 謝謝
[32:07] 謝謝卷忍
[32:08] 接下來我們就進入法說會的第二個階段
[32:11] 問答時間
[32:12] 我們先針對大家會前的提問
[32:14] 會展開各位報告
[32:16] 之後就開放自由提問
[32:18] 那第一題想要請教
[32:20] 文職CEO蔣總關於AI伺服器的掌握
[32:24] 那隨著新一代AI機櫃產品的推出
[32:27] 公司是如何看待產品轉換
[32:29] 對於下半年AI機櫃出貨的影響
[32:32] 那對於整體的競爭格局的看法
[32:35] 以及在產品標準化的趨勢之下
[32:38] 是否讓更多的競爭者加入
[32:40] 謝謝
[32:42] 好謝謝Christine
[32:44] 我想我們維持新一代AI機櫃
[32:46] 在第三季開始量產的規劃
[32:49] 隨著驗證逐步的完成
[32:51] 以及供應鏈還有產能的準備到位
[32:54] 後續幾季的出貨量將會逐步的提升
[32:58] 整體需求依然非常強勁
[33:01] 目前Gb平台的需求還是很穩定
[33:04] 我們預期Gb系列的產品需求
[33:07] 將至少延續到明年
[33:09] 整體AI機櫃的出貨
[33:10] 足跡成長的預期不變
[33:17] 在進入新一代的AI平台
[33:20] 我們認為大型客戶
[33:22] 將會向具備規模交付能力的
[33:25] 大型供應商集中
[33:27] 產品的標準化不代表進入門檻降低
[33:31] 反而會更凸顯
[33:33] 具備規模化交付能力
[33:35] 以及完整垂直整合能力的供應商的優勢
[33:40] 規模化的交付能力取決於自動化程度
[33:43] 而這是鴻海很重要的優勢
[33:46] 透過我們在ICT產業
[33:47] 建置自動化設備的經驗
[33:50] 從新一個世代開始
[33:52] 我們在Computec就做到了100%的自動化
[33:56] 我想要強調的是在AI的硬體產業中
[33:59] 鴻海做的是整個系統
[34:02] 而不是單一的產品
[34:04] 相較於多數的同業
[34:06] 只提供部分AI伺服器產業鏈的製程
[34:10] 例如Level 6的主板
[34:12] Level 10的組裝
[34:14] 或Level 11的系統組裝
[34:17] 我們提供的是完整的一戰士服務
[34:21] 從最開始的Level 1零組件
[34:26] 到GPU模組
[34:27] 到打主板
[34:29] Switch Tray
[34:30] Compute Tray
