SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://www.youtube.com/watch?v=OjUKhWDTmPY
VIDEO TITLE: replay
CALL DATE: 08-11-2026
QUARTER: Q2 FY2026
# source label: Zhen Ding Q2 FY2026 (08-11-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 1413   characters: 13,097

---
[00:02] 申請科技控股部分有限公司
[05:19] 另外新建廠房前置支出使消管的費用增加台幣12億
[05:25] 然而2026年第二季營業利益人士較去年同期成長13.4億元
[05:31] 達到新台幣37.6億元
[05:35] 在經濟方面2026年第二季達到台幣37.3億元
[05:40] 較去年同季成長的百分之168.6
[05:44] 麻煩下一頁
[05:48] 上半年營運的成果
[05:50] 2026年的上半年營收部分成長13.9%
[05:54] 達到台幣891.6億元創下歷年以來同期的新高
[06:00] 主要受惠於伺服器光摸塊及IC載板合計的營收成長率
[06:07] 達到百分之113
[06:10] 上半年的毛利率以及經濟率分別達到22.4%及6.5%
[06:17] 較去年同期分別增加5.9%及3.4%
[06:22] 每股EPS由去年同期的1.3元增加到3.55元
[06:28] 下一頁
[06:31] 地度營運的成果
[06:33] 請看圖表
[06:35] 2026年各季營收都較去年同期提升
[06:39] 毛利率以及經濟率也是足跡提升
[06:44] 下一頁
[06:48] 產品應用別的銷售分析
[06:50] 2022年上半年伺服器光摸塊IC載板的營收
[06:55] 達到了台幣192.7億元
[06:58] 整體占比由去年同期的11.7%增加到了
[07:03] 21.6%
[07:05] 產品應用結構持續的在調整營收持續在增長
[07:10] 麻煩下一頁
[07:13] 財務的狀況
[07:15] 公司整體現金的部位非常充裕
[07:17] 進現金也就是現金餘額減去借款餘額
[07:21] 達到台幣
[07:23] 261.5億元
[07:25] 流動比也持續維持在良好的一個比例1.61
[07:30] 不再比由去年6月底的45%下降到
[07:34] 2026年6月底的39.7
[07:37] 主要的因素是
[07:39] 2023年發行的年代已經全部的清償
[07:43] 以及海外第五次無擔保轉換公司在
[07:46] 到6月底的時候已經有超過半數轉換成
[07:49] 股票
[07:52] 在銷貨及因素賬款存貨方面持續維持
[07:56] 良好的一個管理
[07:57] 那平均銷貨
[07:59] 天數也就是存貨的部分
[08:01] 的增加主要是因應後續訂單的
[08:05] 需求成長
[08:06] 提前準備原料
[08:09] 整體總結公司擁有健康及強健的
[08:12] 財務能力來支持公司持續的一個成長
[08:17] 麻煩下一頁
[08:20] 歷年公司的一個營運均保持獲利
[08:23] 那本頁歷年營運成果的數值提供給
[08:26] 各位做參考
[08:28] 以上報告完畢謝謝
[08:33] 謝謝蔡長長的說明
[08:35] 那接下來我們歡迎沈董事長
[08:38] 為大家說明真頂的策略布局謝謝
[08:41] 好各位投資朋友大家下午好
[08:44] 那我想就整個真頂集團的營運成果回顧
[08:47] 跟機會來掌握跟大家做一個報告
[08:51] 第一點就是說2026年的上半年
[08:54] 我們想營收再創同期新高
[08:57] 那AI產品組合升級帶動整個貨利的提升
[09:01] 受惠以高階AI應用需求持續成長
[09:04] 那2026年上半年的營收
[09:06] 達現在比892億 也年增13.9
[09:10] 再創歷史同期新高
[09:12] 其中數據光模塊IH載板合計
[09:14] 營收大100 增加113%
[09:17] 營收比占21.6
[09:20] 所以高負加價值產品比重增加
[09:24] 那2026年的上半年毛利利率
[09:26] 營業利潤率也分別提升至
[09:29] 二少.4%及7%
[09:31] 顯示工事成長動能
[09:33] 正優異營收規模擴充進一步
[09:35] 轉化為後力提升
[09:37] 那第二點AI順利的建設
[09:40] 開啟高階PCB長期的成長作勤
[09:43] 那真頂聘用計完整的一個技術的佈局
[09:47] 邁入新的一個議論的成長
[09:49] 隨下一個世代
[09:50] AI平台入息量產
[09:53] 那公式伺服器
[09:55] 光模塊的業務是第二級起足跡增強
[09:59] 2026年相關營收目標維持
[10:02] 成倍的一個成長
[10:04] 那中商級歐元老廂
[10:05] AI需求將有伺服器跟光模塊
[10:08] 進一步推展至AI
[10:10] 集成型機器人等壯端的移用
[10:12] 仔細提升高階PCB的使用量
[10:16] 技術門檻跟產品價值
[10:18] 公式對於2026年到30年的
[10:20] 成長生計信心
[10:23] 那第三點
[10:24] 我相信業界最大的
[10:27] 擴展規模達到下一個階段的營運動能
[10:30] 高階PCB產能
[10:31] 建置跟客戶認證
[10:33] 經濟較長期的一個
[10:36] 較長的一個前置期
[10:38] 那唯有兩朝先想參與
[10:40] 掌握AI帶來的長期成長機會
[10:43] 那公式
[10:44] 2026年資本支出
[10:46] 為新台幣800億元加
[10:48] 那2027年到2018年也將維持
[10:51] 告高投資水準
[10:53] 計交HDI
[10:55] IHDI 延期的潑海遼康
[10:58] IC 展盤機 高階軟板等高成長
[11:01] 高附加價值的一個營運
[11:03] 公式目前共有13棟廠王建設中
[11:06] 16棟
[11:07] 新廠規劃中
[11:09] 那新增產能將一客戶導入即量產進度
[11:13] 以2026年到2030年
[11:15] 建分階段開出出
[11:18] 將資本短路成
[11:20] 階段化為營收及後裏的貢獻
[11:23] 那第十秒我想
[11:24] 李鼎以2026年7月2號
[11:26] 正式向港交所避交主板
[11:29] 上市申請
[11:30] 上市申請目前人處於
[11:32] 審查階段中相關資訊
[11:35] 建於港交所
[11:36] 正式看載的文件為準
[11:39] 我想今天的話
[11:40] 稍微關於李鼎的部分
[11:42] 我們現在屬於這間某級期間
[11:44] 所以有可能我們就有很多部分
[11:46] 我想整個力點發展的一個
[11:49] 算是很
[11:50] 是頭很好也很正常
[11:52] 那其他可能細節上我們就今天就不做
[11:54] 更詳細的做
[11:55] 希望各位能夠了解
[11:58] 那整個PCB產業呢
[12:00] 誰的電子產品的疊帶更新
[12:03] 好更高階高指化的發展
[12:05] 我想
[12:06] 這個圖表我上次我也曾經呈現過但是
[12:10] 尤其是未來這幾年我
[12:13] 最近有當然有人講說啊
[12:14] 這個PCB的黃金十年
[12:16] 但是我是把它改為黃金的時代
[12:20] 應該不會受十年的限制
[12:23] 那再下來我想
[12:25] 前处的我們這心理下來的
[12:27] 前处生產基地的一個加速擴產
[12:30] 那效益我想將在206年逐步顯現
[12:34] 那從懷疑延期來說的話
[12:36] 我們規劃到2026年底
[12:38] 完HHB跟HC延期將有六棟高階PCB
[12:42] 新廠建設完成
[12:44] 另外HD延期
[12:45] 也今年4月底
[12:46] 4月動土規劃新建設
[12:50] H I H D I M 蟹婆跟海流抗廠
[12:53] 那
[12:54] 4月22號才動土
[12:56] 那我們昨天已經完成三棟廠王的風頂
[12:59] 那一季明年三月份就可以加入生產
[13:02] 那深圳呢
[13:03] 第三延期
[13:05] 就是那個本頂第三延期的
[13:07] 智慧製造基地
[13:09] 也在今年的7月24號動土
[13:12] 一季興建三棟智慧製造工廠
[13:14] 重點佈局
[13:15] AI157光模塊的高階列宅版
[13:19] 以及AI中端高階軟板的一個高端業用
[13:22] 那在泰國的部分呢
[13:24] 我們主要生產
[13:25] I HDI 跟海流抗跟光模塊產品
[13:28] 以2025年的第三季
[13:31] 也就是就進入量產
[13:34] 那
[13:35] 量產的一個泡沫很順利
[13:39] 以通過多家客戶認證及量產
[13:42] 上有多家伺服器光模塊前期
[13:44] 五千客戶正積極在進行認證中
[13:47] 那
[13:48] 我們泰國的第一個廠就PA01
[13:51] 也在上個月就7月份已經達到
[13:54] 順利兩平
[13:55] 後裏事件一萬元
[13:57] 那目前呢另外生動興建廠王跟
[14:01] 一棟機械裝潢廠
[14:03] 正同步建設中將規劃以
[14:05] 26年的第四季
[14:08] 逐步
[14:09] 自產階段進入市場階段
[14:12] 那
[14:13] 第三個跟大家報告的就是說我們在
[14:16] 今年4月22號的一個增頂
[14:19] DNC動土了以後
[14:21] 那我們目前剛剛也特別報告
[14:24] 我們有山洞廠王已經在昨天封頂了
[14:27] 那整個延期建設完了以後
[14:29] 佔地1893
[14:32] 應該以後是前世界最大的
[14:34] 前世界最大的一個PP生產居地
[14:37] 一個PP生產居地我想這個
[14:39] 這個廠以後應該在很難
[14:41] 不知有那麼大的一個廠
[14:43] 另外就是下面這個圖大家可以看到
[14:46] 就是說我們在深圳
[14:48] 深圳也在積極的步機
[14:50] 就剛剛特別談到我們深圳在今年的
[14:52] 7月24號動土的
[14:56] 這個第三延期
[14:57] 那跟原來的兩個延區其實是很接近的
[15:00] 也在同個奇怪裡面
[15:02] 這樣這有我們營運的管理上
[15:05] 會更有效率
[15:07] 那第四個就是
[15:09] 這張圖就跟各位報告就是
[15:11] 泰國的八爭
[15:13] 八爭府的延期
[15:14] 那白色的部分那個那個
[15:17] 中間那個PA0
[15:18] 就是剛剛特別談到我們去年5月8號
[15:22] 開始市場那上個月開始賺錢了
[15:25] 那隔壁的PA02 PA03跟PA06
[15:30] 還有PA08的計算中心
[15:32] 也應該圖鑑也在今年
[15:33] 今年底大概就可以完成
[15:35] 那陸陸續續也在開始裝機勝贊重
[15:39] 那另外跟各位報告就是說在
[15:43] 就上個月7月24號我們深圳的
[15:46] 第三延期動土
[15:48] 同時我們也舉辦前期共營商大會
[15:51] 那因為我想幾年下來很少有那麼大的規模
[15:55] 甚至可以把前期
[15:56] 大概所有的供應鏈
[15:59] 我們所知道這個產業的過程
[16:00] 不管是原物料啦設備啦還有配套啦
[16:04] 讓大家細數都到齊
[16:05] 總共到217家
[16:07] 410位代表參加我們的共營商大會
[16:10] 應該算是盛況空前
[16:12] 那當然大家也想了解
[16:14] 或聽聽說
[16:15] 到底未來這個PCB整個整個產業的發展
[16:19] 或者我們的看法
[16:20] 也得到很多的迴響
[16:22] 所以那天我們同時辦一個論壇
[16:24] 我想這都是
[16:26] 會推進了幾個大事
[16:27] 我也對於整個PCB未來的發展
[16:30] 大家也很期待
[16:32] 我們也多多多多
[16:34] 都表示一些我們自己的
[16:36] 對未來給給他們一個更好的方向
[16:38] 好
[16:40] 那以上是我簡短的一個報告
[16:43] 謝謝各位
[16:44] 謝謝沈董事長的說明
[16:47] 接下來我們想請
[16:49] 簡總為大家說明一下
[16:50] 真頂的營運規劃及執行
[16:53] 謝謝
[16:54] 文長各位投資先進大家好
[16:56] 接下來有我來報告營運規劃與執行
[16:59] 下一頁
[17:01] 首先從三個方向來說明
[17:04] 真頂科技集團在產品的應用
[17:07] 營運的一些概況
[17:08] 第一個部分是光膜塊的部分
[17:10] 陳如剛聲東上書說明的
[17:13] 我們在1.6T還有後續世代的產品
[17:17] 因為要採用更精密的m7技術
[17:21] 所以全球高階光膜塊
[17:23] 這個供給的缺口還很高
[17:25] 那真頂科技集團也正在積極
[17:28] 擴大相關高階的產能
[17:30] 那公司目前的訂單主要是
[17:33] 1.6T的高速率的光膜塊盤為主
[17:37] 預計2026年的營收
[17:40] 將成倍的成長
[17:42] 那同時科務也開始預定
[17:45] 2027年的產能
[17:46] 目標是2027年就會要
[17:49] 升為全球最大的高階光膜塊的
[17:52] PCB供應商
[17:54] 那第二部分是針對AI Server的部分
[17:57] 包括GPU ASIC的客戶
[18:00] 在IHDI High-Level Account的產品
[18:03] 都已經陸續轉量產
[18:05] 那後續的份額也會持續來提升
[18:08] 那我們也會持續跟客戶
[18:10] 針對未來二到三個世代的產品
[18:14] 來合作研發進行開發
[18:16] 那第三個部分是AI的
[18:18] 需求也擴散到邊緣AI的相關應用
[18:23] 包括AI手機AI眼鏡ARVR等等
[18:27] 2026年手機因為新機的規格的升級
[18:32] 帶動包括軟板硬板
[18:34] 單機價值的同步提升
[18:36] 也讓這個產品結構更有利於毛利的表現
[18:40] 那AI眼鏡的部分
[18:42] 也朝向更輕薄更整合的發展
[18:45] 不僅軟板使用的數量更高
[18:48] 硬板也導入更高等級的MSAP製程
[18:52] PCB的整個技術門檻的提升
[18:56] 預期AI眼鏡的營收
[18:58] 在2026、2027都能夠快速的成長
[19:02] 下一頁
[19:04] 那陳武剛剛所提到光模塊的部分
[19:07] 整個全球光模塊市場的規模
[19:11] 受惠於深層是AI
[19:14] AI伺服器大型資料中心的發展跟需求
[19:17] 在2024到2031預估的可以達到30.2%
[19:23] 在2031的話
[19:26] 整個需求可以到1123億美元
[19:30] 其中光模塊大概佔90%
[19:33] 目前陳武剛剛報告的
[19:36] 在2026我們現在主要的
[19:38] 出貨是1.6T的部分
[19:41] 營收已經成倍的成長
[19:43] 那2027年光模塊1.6T還會繼續大幅成長
[19:48] 並且在2028成為主要的出貨規格
[19:52] 下一頁
[19:54] 那也因為整個1ZDD平台
[19:58] 台驅動整個產品結構的升級
[20:01] 所以在今年上半年
[20:03] 包括伺服器光模塊
[20:05] 還有IC展擺的營收占
[20:08] 已經突破20%
[20:10] 達到21.6%
[20:12] 下一頁
[20:13] 那我們也會持續推進
[20:19] 包括伺服器光模塊
[20:21] 還有IC展擺的佈局
[20:23] 來擴大營收的貢獻
[20:25] 預計從去年的11.7%
[20:28] 今年上半年的21%
[20:31] 到2030年目標是到45%到50%
[20:36] 上報告
[20:41] 好謝謝簡總的說明
[20:43] 那接下來我們將進行今天的Q&A
[20:46] 我們首先會監督對在貴錢
[20:48] 所收到的投資人問題來進行回答
[20:50] 同時間也歡迎全球的投資人
[20:53] 可以在現場開始將您的問題
[20:57] 放在Q&A的功能中
[21:00] 我們在回答完
[21:01] 這個貴錢分配的投資人問題之後
[21:04] 隨時來回答現場投資人問題
[21:07] 那我先把這個之前所投資人的問題
[21:10] 跟大家附送一遍
[21:12] 第一個問題是想請問公司對2026年
[21:15] 全年營收與毛利率的展望
[21:18] 將如何預期
[21:20] 那相關另外一個問題是
[21:22] 是否能夠提供2027年的營收
[21:25] 以及毛利率的展望
[21:28] 大概初步的看法為何
[21:30] 最後是中長期的毛利率目標為何
[21:35] 這麽我來回答
[21:36] 我想受益AI算力的吸氣
[21:39] 我想2026年的營收動能
[21:42] 將迎來高速成長
[21:44] 那當忘記差距也將逐步的期盤
[21:48] 整體的一個維持高價動力的表現
[21:52] 那上半的苗栗已經達到2026年
[21:55] 下半年到明年
[21:57] 隨著泰國懷疑新廠
[21:59] 能開出更快速跨過
[22:01] 隨意平衡的毛利率
[22:03] 有距離不提升
[22:05] 走高
[22:06] 中長期我也
[22:07] 我想公司目標在2030年年期
[22:10] 會將伺服器光膜塊跟載板
[22:12] 營收拉到45到50
[22:15] 透過高毛利產品結果轉變
[22:17] 帶動整體的耗力能力
[22:18] 我想都會持續增長
[22:20] 謝謝
[22:22] 好 謝謝董事長的回答
[22:25] 第二個投資人提問是
[22:27] 請問光膜塊市場成長潛力極大
[22:31] 同業例如新興華通
[22:33] 也在積極布局
[22:35] 請問增頂相較同業的差異化
[22:38] 是在什麼地方
[22:39] 是MCEP的能力
[22:41] 產能規劃良率成本
[22:44] 還是客戶覆蓋呢
[22:48] 我想增頂平借在手機領域
[22:51] 以及多年的MCEP的一個製程技術
[22:54] 智能化工廠的經驗
[22:57] 在800G到1.6T的高速蓬蓬塊市場
[23:00] 實現超越同業的一個良利
[23:03] 高良利的量產
[23:05] 並透過未來能夠加速MCEP
[23:08] 塑造廠廣的一個建置
[23:10] 以及在2027年
[23:12] 導致成為一個
[23:13] 全球最大高階光光塊產能的
[23:15] 一個PCB供應商
[23:17] 當然相比同業
[23:19] 增頂整合高階的
[23:21] IGTI-ABF載板
[23:24] 以MCEP的光光塊
[23:25] 等的一個1GT的能力
[23:27] 等為切入AI資料中心
[23:29] 供應鏈的一個核心優勢
[23:32] 醫生說明
[23:34] 好 謝謝董事長回答
[23:36] 第三個問題是
[23:38] 想請問目前上游
[23:40] 材料例如T-Glass的短缺情形如何
[23:44] 公司如何確保材料供應
[23:47] 是否已經有
[23:49] 長約過多少的來源策略
[23:53] 預計何時會緩減
[23:56] 那次世代的先進封裝的
[23:58] 玻璃機板取代波步
[24:01] 是否可調節供需平衡
[24:04] 最後上游CCO等材料
[24:07] 面臨漲價
[24:08] 那增頂是否能夠順利轉嫁呢
[24:11] 對於毛綠的影響有多大
[24:14] 好 這問題我來做說明
[24:16] 我想目前T-Glass的人就
[24:18] 存在一個短缺的情況
[24:20] 但德利
[24:21] 我想我是跟長期跟上游公司
[24:24] 保持良好的一個策略
[24:26] 夥伴關係
[24:27] 且為保障供貿順利跟
[24:29] 廠商簽署有戰略合作的一個協議
[24:32] 供貿的一個保證協議
[24:35] 我們都有跟很多東西上
[24:37] 簽這個東西
[24:38] 另外也為氣保供貿多元化
[24:41] 也同步驗成Second Source的一個來源
[24:44] 第二點我想要說明的就是
[24:46] 我想次世代先進封裝玻璃機板
[24:49] 期待波離步
[24:51] 期待波步人數以技術院
[24:53] 認證短短期
[24:54] 適合可調節供需平衡
[24:56] 我想還不太善為可知
[24:59] 那有關CCL長家
[25:01] 目前我是跟客戶的活動順暢
[25:03] 並且能夠順利一半
[25:05] 對毛利的影響
[25:07] 更小
[25:11] 好 謝謝董事長回答
[25:13] 下一個投資人提問是
[25:14] 請問HDI版
[25:16] 目前客戶與出貨的狀況為何
[25:19] 那是否可說明先前市場
[25:22] 遙傳出HDI版
[25:24] 退貨事件以及後續公司
[25:27] 會否會適應你的措施呢
[25:29] 我想這個本公司
[25:31] 我現在不可能回答
[25:32] 本公司目前各產界引以一切正常
[25:35] 那關於高階HDI跟AI伺服器
[25:37] 版出後動很強勁
[25:39] 針對市場傳出之
[25:41] HDI退貨的事件
[25:43] 純屬毫無事實跟進的謠言
[25:46] 我想這些我們也曾經在
[25:48] 當天我們曾經在媒體
[25:50] 做這個澄清
[25:51] 絕對沒有這回事
[25:53] 好 謝謝董事長回答
[25:58] 下一個投資人提問是想請教
[26:01] 後續AI伺服器主板的
[26:03] 板材設計趨勢中
[26:05] 有沒有看到規格
[26:07] 由高多層PCB轉往HDI的趨勢
[26:12] 可以分析一下這個趨勢
[26:14] 對於市場的競爭影響嗎
[26:16] 另外真頂在HLC
[26:18] 相對進入較完
[26:21] 但若未來持續轉向
[26:23] HDI加HLC
[26:26] 那公司是否有預期
[26:28] 未來在AI Server PCB的
[26:31] ShareScan會加速呢
[26:35] 先問請監總來回答一下
[26:38] 是 隨著伺服器平台
[26:41] 規格的升級
[26:43] 所以主板的設計
[26:44] 也從傳統的HDI account
[26:46] 轉向結合
[26:47] 超高接來HDI的混合製程
[26:50] 因為晶片的集成度
[26:52] 還有高速傳輸的
[26:54] 需求大不提升
[26:56] 所以具備雷射盲麥克風
[26:58] 還有吸線寬能力的
[27:00] Any Layer HDI
[27:01] 變成可以縮短傳輸入境
[27:04] 維持訊號完整性的核心關鍵
[27:07] 其中M7也是實現
[27:09] Any Layer HDI
[27:10] 超性線
[27:12] 然後超限距的核心技術
[27:15] 那真頂科技集團
[27:16] 作為全球PCB的龍頭
[27:18] 是少數同時擁有
[27:21] IHDI HiLayerCon IC載板
[27:24] 全方位技術跟量產能力的廠商
[27:27] 所以我們在這一波
[27:29] 轉向超高層跟密集HDI
[27:32] 技術的過渡起交匯期
[27:35] 平階真頂科技集團
[27:37] 過去在包括
[27:39] 手機高階HDI累積的製程優勢
[27:43] 可以完美的來
[27:45] 承接AI世代交替
[27:47] 未來的需求
[27:48] 而且公司目前已經加入
[27:50] 包括AMIDI MGS
[27:52] 生態系統
[27:53] 並且跟北美的一線大客戶
[27:56] 還有晶片的龍頭廠商等等
[27:59] 並共同開發
[28:00] 預期未來在AI12的
[28:02] 版的市佔率的增長
[28:04] 將迎來挑釋的爆發
[28:06] 以上
[28:07] 好 謝謝簡總的回答
[28:11] 那下一個投資人提問是
[28:13] 真頂2026到2028年都維持
[28:17] 大規模資本支出
[28:19] 那面對投資人對於短期擇舊
[28:22] 負債及產能去化的關注
[28:25] 想請問董事長如何看待
[28:27] 所謂的今日投入
[28:29] 以及未來成長之間的關係
[28:32] 那公司如何在
[28:34] 控制投資風險的同時
[28:36] 也確保資本支出
[28:38] 逐步轉化為未來的營收
[28:41] 獲利以及市佔率的提升
[28:43] 好 這個我來做回答
[28:46] 我想真頂幾段
[28:48] 所有的擴產真基於
[28:50] 跟北美一些的CSP
[28:52] 晶片廠商 裝上機的技術產品
[28:55] 鎊電 部分高階訂單
[28:57] 更透過民主款和專案款的
[29:00] 鎖電 民建度資本到2029年
[29:03] 是一點說明
[29:05] 那公司今日的投入是
[29:07] 為了解決客戶未來的痛點
[29:09] 那新產能前面對準AI
[29:12] 社福器 高階光盟塊
[29:14] 跟14代IC在版等高貓利
[29:17] 高利的高貓利的高階運用
[29:19] 那水產能的逐步開除
[29:21] 高負加價值 產品創造的效益
[29:24] 將引帶短期折就沖洗
[29:26] 那配合文件的財務結果
[29:28] 跟跨國多基地的佈局
[29:30] 公司有信心將投資精準的關鍵產能
[29:33] 轉化為未來的營收
[29:35] 跟後離的爆發
[29:37] 加速點點2030年
[29:39] 高階市場弄頭地位
[29:41] 謝謝
[29:43] 好 其實董事長回答
[29:45] 下一個問題也是最後一個
[29:47] 這個會前投資人提問
[29:50] 想請問曾鼎積極在各個高層PCB的
[29:54] 新廠導入智慧工廠
[29:57] 那請問智慧工廠在提升良率
[30:00] 生產效率 產品一致性
[30:03] 以及縮短新廠爬升度的時間方面
[30:07] 那預期可以帶來哪些具體的效益呢
[30:11] 聽總理回答 好不好
[30:17] 是 陳路綱董事長提到
[30:20] 整理科技的案在全球佈局
[30:23] 我們也建置新的工廠
[30:26] 那這些新的工廠都採用
[30:28] 智慧化的標準工廠
[30:30] 並且對標半導力產業的等級
[30:33] 來全面導入包括AI
[30:36] 大數據分析智慧製造的技術
[30:39] 並且結合精食管理跟數位轉型
[30:42] 來提升我們主要製造的能力
[30:45] 並且跟供應電商下游
[30:47] 一直整合的效率
[30:49] 距離的效益包括
[30:51] 首先在提升良率方面
[30:53] 因為我們在這些智慧工廠
[30:55] 包括整個產線
[30:57] 佈置成千上萬個感測器設像鏡頭
[31:01] 即時來收集這些相關的大數據
[31:04] 透過我們自己建立的算力中心
[31:07] AI模型可以做即時的監控
[31:10] 跟預警的一些補償
[31:12] 也就是半導力產業長常說的
[31:14] 先進製程控制 先進設備控制
[31:17] 先進品質控制這種智慧製造技術
[31:20] 這樣的話可以在生產的過程中
[31:22] 就降低生產的變異
[31:25] 並且讓一次生產
[31:27] 就能夠快速達到爬坡的要求
[31:30] 這樣的話就可以縮短
[31:33] 爬坡的時間
[31:35] 也讓分析的速度可以加速
[31:37] 並且讓產品的品質交集
[31:40] 都更好
[31:42] 第二部分是我們去整合
[31:44] 包括我們既有的廠
[31:46] 還有新的廠的製造指引系統
[31:49] 並且結合我們在智慧園區
[31:51] 智慧物流的建設
[31:53] 讓這些數據齊存在一起
[31:56] 並且發展AI智能體
[31:58] 還有大數據分析的系統
[32:00] 來全面提升我們設備的
[32:02] 綜合效率也就是OE
[32:04] 這樣的話讓工廠的職員
[32:07] 可以更優化產能利用率
[32:09] 也可以提高
[32:10] 因此就可以降低生產的成本
[32:12] 增加獲利率
[32:14] 第三個是我們自己建立
[32:16] 我們的增頂雲
[32:18] 透過我們的一些
[32:20] 標準化智慧工廠
[32:22] 還有我們Golden Line
[32:24] 這些製程都上傳到我們的增頂雲
[32:27] 並且在地端
[32:29] 可以透過雲端工藝配方的同步
[32:32] 所以就讓半導體產業的
[32:35] 這種COVID-exactly的策略
[32:38] 可以實現在我們
[32:40] 全球各地的生產基地
[32:42] 這樣的話就可以讓
[32:44] 我們的客戶在不同的基地
[32:46] 都可以保持一致的品質交集跟良率
[32:49] 那第四個部分也是
[32:51] 陳如剛前面的說明
[32:53] 透過我們智慧製造的能力分析
[32:56] 還有我們整個增頂雲
[32:58] 這些基礎建設
[33:00] 我們再結合這些數位雙生的這種
[33:03] 紡繩還有這個AI的技術
[33:07] 未來工廠的建置
[33:09] 智慧倉儲的建置等等
[33:11] 這些還有設備調教的時間
[33:13] 都可以大幅的縮短
[33:15] 那陳如剛剛的說明
[33:17] 在泰國包括泰國等地工廠
[33:20] 就可以很快的達到水利平衡
[33:23] 也更快的爬坡達到量產
[33:25] 以上的報告
[33:29] 好謝謝簡總的說明
[33:31] 那以上是我們在會前
[33:33] 所收到的投資人提問
[33:35] 那接下來我們將開放給
[33:38] 上所有全球的投資人進行提問
[33:41] 那再次提醒您
[33:43] 麻煩您於Q&A的功能中
[33:45] 輸入您的問題
[33:47] 那另外也另外一個提醒
[33:49] 如果您使用是TinApp的版本
[33:51] 無法看到Q&A的功能
[33:53] 可以改為透過
[33:55] 網頁版參與發問
[33:57] 謝謝
[33:58] 那先上第一個投資人問題是
[34:00] 想請問目前泰國各場區的
[34:04] 產值跟產品規劃為何
[34:07] 另外GPU大客戶主板
[34:09] 會放在泰國還是淮安產區
[34:12] 供貨呢
[34:14] 這個我來回答
[34:15] 我想我們現在泰國的
[34:18] 這個廠區目前
[34:19] 第一個廠的生產
[34:21] 它是以稍微跟光模塊為主
[34:23] 那第二個廠生產
[34:25] 也是以稍微跟光模塊為主
[34:27] 那第三個廠
[34:29] 第三個廠就是以軟板為主
[34:33] 因為軟板現在有很多的一些
[34:36] 這個新型的軟板
[34:39] 我們以軟板為主
[34:40] 那第四個廠還是以高階
[34:42] 還要抗衛毒
[34:44] 目前四個廠
[34:45] 那一個集團中心
[34:46] 目前的配備是這個樣子
[34:48] 那關於第二點就是說
[34:50] 關於GPU的一個大客戶
[34:52] 主板放在哪裡
[34:53] 泰國生產還是哪裡生產
[34:55] 其實我們兩邊都有
[34:57] 兩邊都有
[34:58] 因為根據客戶的需求
[35:04] 能夠放在大陸生產
[35:06] 現在放在大陸生產
[35:07] 因為大陸還是條件比較成熟
