SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://irconference.twse.com.tw/2368_46_20260828_ch.mp4
VIDEO TITLE: replay (partial replay ~11 min, presentation only)
CALL DATE: 08-28-2026
QUARTER: Q2 FY2026
# source label: Gold Circuit Q2 FY2026 (08-28-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 314   characters: 2,611

---
[00:11] 各位投資先進大家下午好
[05:54] 稅前經歷的這部分的話
[05:55] 今年上半年
[05:57] 我們公司的稅前經歷
[05:58] 來到了113億
[06:00] 對
[06:00] 然後相較於去年的51億
[06:03] 我們增加了121%
[06:06] 然後我們的EPS的話
[06:07] 在今年上半年是16.17%
[06:10] 相較於去年同期7.08%
[06:13] 我們增加了9.09%
[06:17] 接下來就是我們公司的
[06:19] 美積的淨類
[06:21] 那這是2025年跟2026年
[06:23] 那2025年我想說
[06:25] 之前都有公告過
[06:26] 所以這個都蠻清楚的
[06:28] 那我們接下來看一下
[06:29] 就是我們2026年
[06:31] 2026年的部分的話
[06:32] 我們今年第一季
[06:34] 大約營收是193億
[06:36] 那今年第二季是242億
[06:38] 那毛利率部分這邊大概
[06:40] 持平
[06:41] 對
[06:41] 所以小調0.1%
[06:43] 0.1%
[06:44] OK
[06:45] 但是在稅前經歷的部分
[06:46] 我們還是有進步
[06:47] 稅前經歷的話
[06:48] 我們這邊是50.9億元
[06:52] 對
[06:52] 然後第二季的話是63億
[06:55] 對
[06:55] 好
[06:59] 接下來是我們公司的
[07:00] 製程能力
[07:01] 那這個地方的話
[07:02] 大家有看到就是印刷電路
[07:04] 印刷電路板可以印板
[07:06] 那我們有做多層板
[07:08] 還有就是HDI板
[07:10] 然後還有後銅板
[07:12] 那在多層板的部分
[07:13] 其實我們會做一些汽車板
[07:14] 那之前我們有做過
[07:16] 像還有衛星
[07:18] 然後no book server
[07:19] 那這些都是還有
[07:20] networking
[07:21] 然後N server
[07:23] Eleven server
[07:24] 還有AI server
[07:25] 還有IC testing board
[07:26] 這些都是
[07:28] 在多層板裡面
[07:29] 都會應用到的產品
[07:32] 那接下來就是我們公司
[07:33] 其實也會做HDI的process
[07:35] 對
[07:36] 對我們家會做HDI process
[07:38] 最重要再次強調
[07:40] 我們家真的會做
[07:42] OK
[07:42] 好
[07:43] 那其實在
[07:45] 我們家就是也會做
[07:46] 寶板
[07:47] 也會做後板
[07:49] 好
[07:49] 那之後有機會再跟大家多
[07:52] 多解釋一下
[07:53] 好
[07:53] 那我們也是會做HDI
[07:55] 那在HDI的部分
[07:57] 目前的產品別
[07:58] 我們有在做汽車板
[08:00] 然後
[08:01] 過去我們有做一些smartphone
[08:03] 就是手機
[08:05] 然後我們還有做no book
[08:07] 那現在有做AIPC
[08:08] 然後我們有做HDI的
[08:11] 伺服器板
[08:12] 好
[08:12] server板
[08:13] 對
[08:14] 好
[08:14] 就可以跟大家講報告一下
[08:16] 然後還有後同
[08:17] OK
[08:18] 哇
[08:19] 很快
[08:19] 我們就來到了
[08:21] 問答時間
[08:22] 好
[08:22] 謝謝
[08:27] 謝謝發言人的分享
[08:28] 那我們接下來進行Q&A
[08:30] 意見交流時間
[08:31] 那請投資人直接
[08:33] 舉手發問
[08:33] 謝謝
[08:35] 請一下
[08:39] 你好
[08:39] 想先請教一下
[08:40] 就是2026以及2027的這個KPEX的進而
[08:44] 謝謝
[09:01] 對
[09:02] 請那個
[09:03] 金像店的張景齊
[09:05] 財務主板來跟我們報告
[09:06] 很財務主板
[09:08] 跟大家報告一下
[09:09] 我們目前
[09:11] 已經有公告的
[09:12] 然後再加上
[09:14] 大概190億
[09:16] 那我們相信下半年
[09:18] 應該會陸續再增加
[09:20] 那到時候如果有公告的話
[09:22] 再跟大家報告
[09:25] 對
[09:27] 那我們明年應該會
[09:29] 會持續增加
[09:30] 那如果好消息再跟大家報告
[09:33] 以上
[09:35] 會是好消息啦
[09:37] OK
[09:38] 好
[09:38] 謝謝
[09:39] 那接下來想問說
[09:41] 這是下半年
[09:42] 就是英語以及各應用產品的
[09:44] 一個需求上面的變化
[09:46] 謝謝
[09:48] 今年下半年
[09:50] 下半年的話
[09:51] 我們的按照我們客人
[09:55] 按照客人的狀況來看
[09:56] 其實我覺得
[09:57] 第三季通常都是電子業的旺季
[10:00] 所以其實我們也覺得
[10:02] 第三季的server
[10:04] 伺服器應該會越來越好
[10:06] 那這邊的
[10:07] AI server的成長會更明顯
[10:09] 對
[10:09] 然後網通
[10:11] 網通也是第三季
[10:12] 也應該會表現的
[10:13] 會比第二季也好
[10:15] 就是按照客人
[10:16] 這個目前的狀況來看
[10:18] 對
[10:18] 我覺得今年的第三季的
[10:20] AI server跟new working
[10:21] 都表現不錯
[10:22] 那至於
[10:24] no book部分的話
[10:26] 我們就持平看待
[10:28] 對
[10:28] 謝謝
[10:30] 好
[10:30] 然後還想請教一下就是
[10:32] 第二季以及上半年
[10:33] 這個AI相關的一艘占比
[10:35] 還有就是下半年
[10:36] 怎麼去看這個趨勢
[10:38] 這樣
[10:38] 謝謝
[10:39] 第二季的AI server的占比
[10:42] 第二季AI的占比的話
[10:44] 我們目前
[10:45] 因為
[10:46] 應該是大約4到5成左右
[10:49] 還不到5成
[10:50] 還不到5成
[10:52] 沒關係
[10:53] 好
[10:53] 謝謝
[10:54] 對
[11:05] 好的
[11:06] 感謝我們非常謝謝發任人
[11:08] 還有靜怡團隊這邊的分享
[11:10] 那我們今天京巷店
[11:12] 法說會就到這邊告一段落
[11:13] 謝謝各位
[11:15] 謝謝
