SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://irconference.twse.com.tw/4938_131_20260812_ch.mp4
VIDEO TITLE: replay
CALL DATE: 08-12-2026
QUARTER: Q2 FY2026
# source label: Pegatron Q2 FY2026 (08-12-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 1294   characters: 12,264

---
[00:10] 各位投資先進午安,歡迎參加合說聯合科技股份有限公司
[02:20] 扣除所得稅後,本期淨利為91億7300萬元
[02:24] 歸屬母公司的部分則為60億4900萬元
[02:29] 每股營業為2.26元
[02:33] 下面第五頁是
[02:34] 2026年第二季與第一季合併損益表的比較
[02:39] 今年第二季合併營收為2744億4800萬元
[02:44] 與去年同期及前一季相比
[02:47] 分別成長了2.7%及12.4%
[02:52] 主要是資訊消費進件時及
[02:55] 出用產品撈過需求增加所帶動
[02:58] 在營業毛利部分
[03:00] 今年第二季為121億5600萬元
[03:04] 毛利率為4.4%與上季相比持平
[03:09] 與前一年同期3.1%都有成長
[03:13] 主要是受惠於資訊及消費性產品
[03:16] 業務規模表現有明顯增長
[03:19] 整體營運生產效率提高
[03:21] 且今年惠律波動較小
[03:25] 在營業費用部分
[03:27] 今年第二季為79億5800萬元
[03:30] 而營業利益則為41億9800萬元
[03:34] 營業利益率為1.5%
[03:38] 再來看到業外部分
[03:41] 今年第二季的業外收益為35億4600萬元
[03:45] 跟前一年同期及上一季相比
[03:48] 皆有大幅增加
[03:50] 主要是今年第二季
[03:51] 有較高的資用資產評價利益
[03:54] 再往下看
[03:56] 今年第二季的稅前營業為77億4400萬元
[04:01] 在扣除所得稅費用之後
[04:03] 本期淨利為63億1300萬元
[04:07] 歸屬母公司的部分則為
[04:09] 自4億8800萬元
[04:11] 每補營業為1.68元
[04:15] 接下來請翻到今天用業的資產負債表
[04:19] 結至今年第二季
[04:22] 相關的應收應付帳款
[04:24] 接待正常的水位
[04:26] 存貨責於去年同期相比有增加
[04:29] 主要是因應今年下半年
[04:30] 伺服器產品出貨規模成長所做準備
[04:35] 台務比率部分
[04:36] 流動比率歧視今年第二季為127%
[04:41] 負債比率62%
[04:43] 有期負債比率則為14%
[04:47] 再請大家看到第七頁
[04:48] 現金流量部分
[04:50] 歧視今年第二季
[04:52] 營業活動為盡限金流出378億
[04:57] 投資活動的盡限金流出則為39億元
[05:00] 融資活動部分
[05:02] 盡限金流入約為293億元
[05:05] 期末現金則約為1088億元
[05:10] 得救攤銷部分
[05:12] 歧視今年第二季
[05:13] 則有攤銷費用約80億元
[05:19] 接著請各位翻到第九頁
[05:21] 合併營收去市
[05:23] 一年第二季
[05:25] 合併營收約為2741億元
[05:28] 較上季上升12%
[05:31] 預較去年同期成長3%
[05:34] 主要受惠於資訊
[05:36] 與消費性電子產品
[05:37] 及拉貨需求增加
[05:40] 而下一頁可以看到
[05:42] 各產品領先營收分析的年段也比較
[05:46] 資訊產品受惠於
[05:48] 自主機械物出貨規模增加
[05:50] 營收成長約84%
[05:53] 同時消費性電子產品的營收表現
[05:56] 異月有成長
[05:58] 而通訊產品則受到較弱的出貨距向
[06:02] 也盈收年對年有下滑
[06:06] 接下來請大家看到下一頁
[06:08] 季對季的比較部分
[06:11] 資訊及消費性電子產品
[06:12] 應出貨動能強勁
[06:15] 營收較上一季
[06:16] 皆有雙位數的成長
[06:19] 而通訊產品營收季對季
[06:20] 則約為持平
[06:22] 以上報告
[06:24] 謝謝李主
[06:25] 很高興這位教師非常好
[06:28] 尤其是這個
[06:30] 以及一些什麼的事必須
[06:32] 接下來我們會有這個成長
[06:35] 是不是
[06:36] 我們講一下這個
[06:38] 下半年該的事
[06:40] 因為我發現這個
[06:42] 季約的營收非常歪歪
[06:43] 應該是有很大的政策
[06:46] 來自這個支付器
[06:47] 我們是不是請這個
[06:49] 請講跟我們講一下
[06:50] 下半年該的事
[06:52] 好那我是主持人
[06:54] 我今天向各位監禁報告一下
[06:57] 那個2Q的的現況
[07:00] 還有3Q的Outlook
[07:01] 還有2026的Outlook
[07:04] 那2Q的現況
[07:07] 在資訊產品方面
[07:08] 2Q營收QOQ成長的82%
[07:12] 主要得益於支付器出貨
[07:15] 持續提升
[07:18] 同時NoBook和Data比
[07:20] 因為ASP較高
[07:22] 帶來營收的正面影響
[07:24] 在消費型電子產品方面
[07:27] 2Q由於Game console出貨增加
[07:31] 及那個Tablet有新品上市
[07:35] 加上IoT的業務
[07:36] 也受惠於較佳的產品組合
[07:39] 使得整體的營收增加了57%
[07:42] QOQ
[07:43] 那在通訊產品方面
[07:46] 由於2Q是整體通訊產品的淡季
[07:50] 使它的營收跟1Q大概持平
[07:54] 那我們再來進入3Q的Outlook
[07:58] 那在資訊產品方面
[08:00] Server預計在Gb系列跟
[08:03] B200 B300 Storage Compute Server
[08:06] 上隨著客戶AI
[08:09] infrastructure的建置持續的增加下
[08:12] 應該可以看到QOQ的成長
[08:15] 那以整體computing
[08:17] 3Q的營收來看
[08:19] 1G Noble會受到CPU
[08:22] 記憶體的漲價局缺料的影響
[08:25] 抵消部分Server的成長
[08:28] 在消費型電子產品方面
[08:31] 3Q 1G Game console和IoT將
[08:35] 在第三季進入忘記
[08:37] 但整體營收QOQ將略有下降
[08:41] 主要是因為平板
[08:44] 就CaferG方面在Q2有新產品
[08:47] 兩相比較之下
[08:50] 2Q的集體較高影響
[08:54] 有一些抵消
[08:55] 那在通訊產品方面
[08:57] Robin 3Q通常是忘記
[09:01] 所以會帶來中端需求的成長
[09:05] 那智慧型手機通常3Q
[09:08] 開始為年底的4Q忘記
[09:11] 開始做準備
[09:14] 那看一下2026的Outlook
[09:16] 在這個三大產品線上面
[09:20] 整體在資訊產品方面
[09:23] 整體Nobook的出貨表現
[09:26] 主要會隨時客戶
[09:28] 及產業的趨勢而走
[09:31] DeskUp則受惠於新產品的推出
[09:35] 以及伺服器的客戶需求
[09:38] 及出貨規模的持續放大
[09:41] 為整體的computing營收帶來YOLY的成長
[09:46] 那Cafer將由於原先預估的
[09:49] 十倍成長目標
[09:54] 那在消費性電子產品方面
[09:58] 希望今年在遊戲及幾IoT相關產品
[10:02] 隨著新機種新增加的業務機會
[10:05] 能夠穩定的出貨表現
[10:08] 那在通訊產品方面
[10:10] 網公方面
[10:12] Robin市場依據既有的客戶
[10:15] 需求會逐步回升
[10:17] 也會積極爭取新產品機會
[10:20] 即Headend產品也有需求增加
[10:23] 那智慧型手機方面
[10:26] 我們會持續依坦月的發展
[10:28] 客戶的需求做相對應的調整
[10:32] 包括完畢
[10:33] 謝謝市長
[10:34] 這個是非常辛苦
[10:36] 那開放這個線上溫溫的視球
[10:40] 我有幾個問題
[10:42] 那個Ivy我們是不是
[10:47] 待會我先問問題
[10:48] 然後我們在開放這個Q&A
[10:51] 那可以再講
[10:52] 待會再請你說明
[10:54] 在開放問題之前
[10:56] 我有幾個比較重要的問題
[10:58] 想請教兩位資金長
[11:00] 就是我看到這個AI的伺服器的營收
[11:04] 看來是越來越有significant growth
[11:07] 那想說是不是這個營收是如期的放量
[11:11] 那大概就是
[11:13] 下半年的最主要的獲利
[11:15] 會不會是來自這個AI伺服器
[11:17] 那這是我第一個問題
[11:20] 阿神你好 我是Gary
[11:23] 那我想就是說
[11:25] 剛剛中神也有提到就是說
[11:28] 原本預期的這個
[11:31] 年對年的十倍成長
[11:33] 我想我們目前應該是非常有把握
[11:36] 當然也在爭取
[11:39] 這整個下半年
[11:42] 一定要比這個十倍來得更好
[11:45] 那至於獲利的部分
[11:47] 我想這個
[11:49] 合作的整個產品線是非常平均的
[11:53] 那當然
[11:56] 因為產業鏈的擠壓
[11:58] 有一些缺料的影響
[12:01] 那這個我們整個團隊
[12:04] 尤其是採購的團隊
[12:06] 也非常的積極的在
[12:10] 把這些料放
[12:12] 除了掌握之外
[12:14] 很多採購其實也都
[12:16] 直接到廠商的工廠
[12:19] 來把
[12:21] 這些料件sqeure住
[12:23] 所以我想整個
[12:26] 不管是公司內部的
[12:29] 這個
[12:30] 運作的績效也好
[12:32] 或者是這個料件的
[12:34] sqeure也好
[12:36] 我想
[12:37] 每個單位的
[12:39] 這個
[12:41] 運作人員都戰爭津津
[12:43] 要把這個利潤
[12:45] 一定要守住
[12:46] 那我想
[12:47] 在伺服系的部分
[12:49] 我想業界的
[12:52] 這個利潤也都在那邊
[12:54] 我們當然也應該要盡量
[12:56] 看齊才對
[12:58] 謝謝
[12:59] 謝謝執行長
[13:00] 那在開放之前
[13:01] 我還有一個就是接下來
[13:03] 就是我知道說
[13:05] 這些AIS伺服區
[13:06] 應該是GV都在這個的周廠
[13:09] 這個量差
[13:10] 那可不可以跟請執行長
[13:12] 跟我們講說
[13:13] 這些的進度跟狀況
[13:15] 就是說
[13:16] 我們想投資人想了解說
[13:18] 因為這邊在德州
[13:20] 有很大的產能
[13:21] 那
[13:22] 應該是最主要生產這些東西
[13:24] 應該是某一些重要的美國客人
[13:26] 那可不可以
[13:27] 就這方面跟我們分享一下
[13:30] 對 我想
[13:32] 這個剛剛我們IRL
[13:34] 在報告這個
[13:36] 庫存的金額也可以看到
[13:39] 有蠻大量的成長期
[13:41] 所以一些料
[13:44] 因為有一些當然是因為市場上的缺料
[13:48] 我們一定要用比較好的價錢
[13:50] 把它sqeel住
[13:52] 所以有一些料會提前進來
[13:55] 那另外一些是因為搶料的關係
[13:59] 你沒有去把料先拉進來
[14:01] 其實也會影響後面
[14:04] 交貨的這個時程
[14:06] 所以在這一個部分
[14:08] 也如剛剛所講
[14:11] 除了我們已經
[14:12] 預先
[14:14] 收到訂單的
[14:16] 生意之外
[14:16] 我們也要
[14:18] 為今年Q3Q4
[14:21] 的這些預期的生意
[14:24] 要先把這些料
[14:26] 能保住
[14:27] 那另外一個就是說
[14:29] 這個GP300
[14:31] 看起來它的生命週期
[14:34] 也還會再延續到明年
[14:37] 並不會因為Vera Rubin出來之後
[14:40] GP300就停產
[14:43] 所以我們
[14:44] 其實有一部分也在為
[14:46] 明年上半年的
[14:48] 這些生意的料框
[14:50] 要趕快守住
[14:52] 那這個部分當然
[14:56] 我們其實從七月八月
[14:59] 就工廠就非常的忙碌
[15:01] 就非常的忙碌
[15:02] 那這個交貨的時間點
[15:05] 當然也要看客人
[15:08] 它的infrastructure
[15:10] ready的時間點
[15:12] 來搭配交貨
[15:14] 那在台灣
[15:17] 墨西哥跟美國這一邊
[15:20] 因為每個區域的
[15:22] 生產能力跟能量
[15:25] 是不一致的
[15:27] 那我們也有內部
[15:29] 很嚴謹的來討論
[15:32] 哪一個地方
[15:34] 放哪一個客戶
[15:36] 哪一個地方
[15:37] 放怎麼樣的生產
[15:39] 才是最有效率的
[15:41] 所以這個
[15:42] 除了這個三個地方之外
[15:44] 我們也了解到
[15:45] 我們的競爭對手在東南亞
[15:49] 也有某一個
[15:51] 四層的伺服器生產
[15:55] 在那一邊
[15:56] 那這個也對我們來講
[15:58] 也是一個非常好的利機
[16:01] 因為我們在東南亞的資源
[16:03] 在過去幾年
[16:05] 其實準備的也非常充分
[16:08] 所以在這一塊的配置上
[16:10] 應該是不成問題的
[16:12] 那這確實
[16:14] 那埃比我們是不是現在交流
[16:17] 但線上沒有把投資先機要問問題
[16:20] 那請你把反說明規則好嗎
[16:23] 各位投資先機好
[16:26] 如果您有進一步問題
[16:28] 想跟管理層做交流的話
[16:30] 您可以在聊天室
[16:31] 留下您的文字提問
[16:33] 或者是透過舉手間的功能
[16:36] 那我們將繼續邀請您提出問題
[16:39] 那目前我線上看到有一位
[16:42] 舉手提問來自於Angela KGI
[16:45] Angela請提問
[16:47] 謝謝
[16:49] 謝謝謝謝主持人
[16:51] 管理層你們好
[16:52] 我是KGI Angela
[16:54] 我想跟公司請教的一個問題是
[16:57] 就是剛剛提到server這塊的成長器
[17:01] 那包括需求很好
[17:03] 客戶的費貝也很正面
[17:04] 那我的第一個問題就是說
[17:06] 可以先告訴
[17:08] 可以讓我們知道一下說
[17:10] 這個大概占我們的
[17:12] computing的營收比重
[17:14] roughly在什麼樣的一個range
[17:17] 這是第一個問題
[17:19] 然後第二個問題就是
[17:21] 我們現在大部分都是出系統
[17:25] 那這塊我們現在
[17:28] 大概都是concerned
[17:29] concerned by itself的
[17:31] Base model為多
[17:33] 那未來這部分會是
[17:35] 朝什麼樣的方式會做調整嗎
[17:38] 那因為剛剛也看到
[17:39] inventory的這邊的這個準備嗎
[17:43] 那我想其實也是
[17:44] 有一些比較正向的需求在後面
[17:48] 那就是想問一下
[17:49] 目前大概在料礦上面
[17:51] 哪些是比較緊
[17:54] 然後會不會有一些concerned
[17:55] 這個部分在下半年
[17:57] 會不會在動能上面有一些影響
[18:00] 那最後也是問一下
[18:02] 公司也有公布要
[18:03] 做這個公司債
[18:05] 以及ECB的需要
[18:08] 那可以幫我們解釋一下
[18:10] 這一塊的資金用途
[18:11] 還有它預計規劃的
[18:13] size有多大
[18:15] 那時間點
[18:16] 那就是也問一下
[18:17] capass今年的資本支出的想法
[18:21] 有沒有做一些調整
[18:23] 好大概就是這幾個問題
[18:24] 謝謝
[18:26] 我想那個
[18:28] 以伺服器的這個售價
[18:30] 那個各位先進應該都很清楚
[18:33] 所以這個
[18:37] 用percentage可能不太適合
[18:39] 不過我想
[18:40] 這個就是今年的
[18:43] 這個伺服器的營業有機會
[18:47] 可能會
[18:48] 會是在這個資訊產品上面
[18:51] 反而是
[18:53] 主要的
[18:54] 主要的
[18:55] 主要的dominion
[18:56] 就是這樣
[18:57] 這個是
[18:59] 這個我回答得比較直白
[19:02] 我這一次都說
[19:04] 他應該有機會
[19:05] 像我們前三大
[19:07] 就是第一第二大的BUG
[19:10] 對
[19:11] 有機會了
[19:13] 就是未來幾個坡
[19:14] 應該會看到
[19:15] 就是他可能是
[19:17] 前兩大或前三大的BUG
[19:21] 所以等等
[19:22] 因為在computing裡面
[19:23] 就太委屈他的
[19:25] 所以慢慢應該將去
[19:27] 整個看整個公司他的 portfolio
[19:30] 尤其SonoLado
[19:31] 希望能夠
[19:32] 給投資人更多的information
[19:34] 我們長大
[19:37] 對那因為現在的那個伺服器
[19:40] 燈業就是說我們
[19:42] 當然就是暗度就搬來
[19:44] 所以一開始
[19:46] 我們也準備很多
[19:48] 這個資源
[19:52] 一開始我們當然就是
[19:54] 從這個
[19:56] NeoCloud
[19:57] 然後這一種比較
[19:59] OTS的
[20:00] 這種生意來進攻
[20:02] 那看起來今年
[20:04] 是有一個還不錯的
[20:07] 成果
[20:08] 當然
[20:09] 就如上次講的
[20:10] 我們在組織上面
[20:12] 也把做這一種
[20:15] HuffSix
[20:16] 這一種
[20:17] Halfer Scaler的
[20:19] 客戶對象
[20:21] 把這個resource也準備好
[20:24] 再加上
[20:25] 原本的這些
[20:26] NeoCloud
[20:28] 等級的
[20:29] 這些資源
[20:30] 做一個比較好的分配
[20:33] 那當然一開始NeoCloud這一邊
[20:36] 就是
[20:36] 他的生意模式就會
[20:40] 比較
[20:41] 靠我們自己
[20:43] 包含的一些
[20:44] p-part
[20:45] 可能也都是
[20:48] 要付出比較多的
[20:50] 這個資金流
[20:51] 不過
[20:52] 就是說這個Halfer Scaler這一邊
[20:55] 那這個就
[20:56] 每一個
[20:58] 客戶都有他的
[21:00] 系列
[21:01] 那當然我們
[21:02] 就是說在這一些
[21:04] business turn
[21:05] 上面我們
[21:07] 以過去
[21:08] 以往的
[21:10] 經驗
[21:11] 和我們過去的努力
[21:14] 一定要
[21:15] 看怎麼樣
[21:17] 看到一個對公司比較好的
[21:20] 這個模式
[21:25] Android 那就是有關
[21:27] 投資先進也有看到我們
[21:29] 剛剛也有公告了
[21:31] 董事會也有授權
[21:33] 進一團隊來做一些
[21:35] 資本市場的一些考量
[21:37] 那當然就主要
[21:38] 就是也如同剛剛兩位警長
[21:40] 也都有收到的
[21:42] 針對SERRE在未來
[21:45] 以及或者是兩季的這個Business Outlook
[21:48] 那當然大家都可以清得出來
[21:50] 其實這個Broad的程度是
[21:51] 有的
[21:52] 那搭配上這整個
[21:55] 目前整個
[21:57] 市場
[21:58] 在一些非常重要零件的
[22:00] 資本上面
[22:01] 那確實是有今天拉長
[22:04] 這個
[22:05] 天氣的一個現況
[22:07] 那所以今天呢我們也是
[22:09] 預先準備
[22:10] 那希望董事會給
[22:11] 進一團隊這樣子的一個
[22:13] 坦信跟工具可以來利用
[22:15] 那這個如果您剛剛提到說
[22:18] 是否怎麼樣的
[22:20] 的一個使用狀況
[22:22] 那我想這個答案應該是蠻清楚
[22:24] 就是為了這些Business的一個
[22:26] 營運資金的周朵使用
[22:28] 那Angela以上是
[22:29] 你剛剛的三個問題者回答
[22:31] 謝謝
[22:33] 謝謝謝謝財務長還有知心長
[22:35] 我可以follow up
[22:37] 點問題嗎
[22:38] 就是
[22:39] 那我先針對財務長
[22:40] 這個CB或ECB的總金額
[22:42] 大概有沒有一個規劃
[22:44] 現在有這個普馬
[22:45] 還是說這個之後
[22:47] 才有比較明確的方向
[22:49] 今天早上就是
[22:51] 經營團隊有向董事會
[22:53] 這個提案的這個部分呢
[22:55] 如果是在
[22:56] Proper Bound
[22:57] 拆放部分大概是
[22:58] 佔定是200億台幣的這個上限
[23:01] 那如果是海外的這個部分
[23:04] 大概佔定是美金以為上限
[23:07] 那這個是經營團隊
[23:09] 向董事會取得的一個授權
[23:11] 那作為未來在
[23:14] 依當下市場營運跟資金等等這些
[23:18] 那我們
[23:19] 經營團隊未來做這樣子的一個考量
[23:21] 謝謝
[23:23] 謝謝財務長
[23:24] 然後我想請教
[23:25] 知心長follow up一個問題
[23:26] 就是剛剛好像
[23:28] 比較沒有針對說
[23:29] 我們在料礦上面
[23:30] 好
[23:30] 目前不知道這個部分
[23:32] 會不會有一些constraint
[23:34] 那我另外也想請問
[23:36] 剛剛講說那個
[23:37] 我們computing一半以上
[23:39] 或者majority
[23:40] 那我們去年大概1300多億的
[23:43] 我們可以理解說
[23:45] 我們今年應該就是在
[23:47] server business有機會可以超過
[23:49] 前一整種說中假設嗎
[23:51] 謝謝
[23:52] 不好意思
[23:54] 我一說我們不做採測
[23:56] 不然也不是單一產品做
[23:58] 整個的
[24:00] displosion
[24:01] 那基本上我們往
[24:03] 往高目標
[24:05] 專案是前一倍以上的
[24:07] 目標在努力
[24:08] 那基本上
[24:10] 我剛剛沒有刻意
[24:12] 刻意去講說
[24:14] 我們在computing多少
[24:16] 最大原因也是因為
[24:18] 那個因為我們還沒有
[24:19] 沒有像外界
[24:20] 他可能把獨立成一個
[24:22] 一個一個category
[24:23] 那我覺得也許明年或哪時候
[24:26] 有機會把獨立出來
[24:28] 來看整個事情
[24:29] 那基本上我們一定是
[24:31] 因為我們現在
[24:33] 除了內部
[24:34] 內部調集所有的資源
[24:36] 以外工廠也是調的所有的資源
[24:38] 那我和Gary也下來看
[24:42] 就是分不同的
[24:43] 的客人在不同的努力
[24:45] 所以我們是有看到一些
[24:48] 一些蠻osmistic的進展
[24:51] 所以我們會繼續努力
[24:54] 那至於多少其實
[24:57] 我想很快你們也可以
[25:00] 也可以大概可以 estimate出來
[25:03] 那但是因為下半年
[25:05] 就像你講的料況還有
[25:07] 客人的進展
[25:08] 還有很多不同的 situation
[25:11] 所以我們現在在這邊
[25:13] 就不講那麼多了好不好
[25:15] 那至於料況的部分
[25:19] 我想這個
[25:21] 比較大的兩項
[25:24] 大概memory大家都知道
[25:27] 那CPU當然也受到
[25:29] 這一些influence的需求
[25:32] 或甚至產能的擠壓
[25:34] 我想這兩樣
[25:36] 這個已經大半年
[25:39] 都處在非常嚴重
[25:41] 這一陣子以來當然就是PCV
[25:44] 還有電源相關的
[25:46] 這個零件也變得非常的緊
[25:49] 那PCV這個當然
[25:52] 又跟著這個上游的系列
[25:55] 或更上游的這個
[25:58] 波仙
[26:00] 玻璃纖維這一些
[26:02] 有很大的影響
[26:03] 所以我們這一邊
[26:04] 其實追料都已經追到日本
[26:07] 更上游的原材過去了
[26:10] 那POW的部分
[26:12] 當然也是因為這些伺服器的
[26:15] 伺服器的需求
[26:16] 然後這個還不是只有
[26:19] 這個MOSFET或PIMIC這樣子的
[26:23] 缺席之外
[26:25] 其實我看到就是說
[26:28] 這一些POWMAR9的供應商
[26:32] 其實看能也非常吃緊
[26:35] 那另外一個是比較高溶高壓的MLCG
[26:40] 這個在今年下半年
[26:41] 其實也看到比較嚴重的缺料
[26:45] 大概就這項
[26:50] 好謝謝謝謝執行長
[26:53] 那我的問題先到這裡
[26:57] 謝謝安卓老師謝謝執行長
[26:59] 那接下來是下一個線上提問
[27:01] 來自於元大的Alex
[27:02] Alex請提問謝謝
[27:05] 關聶成你們好我是Alex
[27:07] 那我這邊有三個問題想請教
[27:09] 第一個在伺服器的部分
[27:12] 就如剛關聶成有講過
[27:14] 就是有些料短缺
[27:15] 有些料變貴的一個狀況
[27:17] 想問一下就是在GP300後
[27:19] 或者是在Verl been開始
[27:20] 有沒有客戶開始需要用白色
[27:23] 白色改成這個抗曬的模式
[27:26] 那第二點的部分的話
[27:28] 那公司在第二季的
[27:30] 這個因為費用的部分也守得蠻好的
[27:32] 那想請問一下後面的營業費用
[27:34] 我們應該要怎麼去看
[27:36] 是會擴張嗎
[27:37] 還是要等到美國這邊藏出來了以後
[27:39] 才會有比較大的明顯的一個提升
[27:41] 那最後一個是在稅率的部分
[27:43] 那這兩個基督基本上稅率
[27:45] 都也是壓得很低
[27:46] 那我們後面的稅率
[27:48] 該怎麼去做一個預測呢
[27:50] 謝謝
[27:52] 我想那個
[27:55] 就是說伺服器這一邊零件
[27:57] 會不會變白色
[27:58] 這個其實可能要單一單一來看
[28:02] 比如說GPU啊
[28:04] GPU或者Memory或SSD
[28:07] 是在過往
[28:08] 其他產品當然也有所謂的
[28:11] 白色或free抗曬
[28:14] 不過這個在servar的部分
[28:16] 因為它integration的情況比較多
[28:19] 這個真的要
[28:21] depend on這個專案的形式
[28:25] 或者是客戶的這個這個
[28:29] 形態來單獨做討論
[28:33] 那不過我想
[28:34] 在這一部分
[28:35] 我們的團隊過去也很有經驗
[28:37] 再加上這個財務的運作
[28:41] 我們會以公司最好的
[28:45] 形式來運作這樣
[28:47] 那也
[28:49] 運用這些資金做到最佳的這個組合
[28:54] 那另外剛剛提到
[28:58] 這一些OPEX
[28:59] 我想我就以
[29:01] 現在這個伺服器的角度來看
[29:04] 其實因為
[29:06] 現在的缺料
[29:07] 不是只有在產品上的缺料
[29:10] 包含這些infrastructure的資源
[29:13] 其實在全球
[29:14] 全世界
[29:16] 也大家都在搶資源
[29:18] 所以其實我們看到的
[29:20] 這些資源的準備
[29:22] 都已經用明年的角度來看了
[29:26] 所以這一個部分
[29:28] 我想
[29:30] 隨著時間的眼鏡
[29:31] 你們也應該都可以看到一些
[29:34] 該投資的我們
[29:36] 也都會投資
[29:39] 該先去把一些
[29:42] 這個infrastructure
[29:43] 該secure住的設備也好
[29:46] 或大型的基建
[29:50] 這個該secure的我們也都會做
[29:52] 謝謝
[29:55] 這個我補充一下
[29:56] 其實對BIMO那個
[29:59] 就是Alice你講的那個問題
[30:01] 其實在
[30:02] 在PG上有很多的
[30:04] operational方法可以解
[30:06] 解 even沒有BIMO這個問題
[30:08] APAR 附底
[30:09] 或什麼其實也是另一個方法
[30:12] 好不好 只是提醒一下
[30:14] 所以我們
[30:15] 對不同的客人
[30:16] 有沒有不同的方法去
[30:18] 減少那個KPEX的investment
[30:22] 了解 那我在conference
[30:24] 也就是說你們現在的這種
[30:26] 比較貴的這種AISF9 MVDR這幾種
[30:29] 主要的銀行銷售模式
[30:31] 是以防曬的模式
[30:33] 去做銷售這樣子是對的嗎
[30:35] 第二個就是剛剛那個最後一個問題
[30:37] 就是在稅率的部分
[30:38] 我們後面要怎麼看 謝謝
[30:41] 我想這個Bisni-Sertent
[30:43] 就是跟每一個客人都有
[30:46] 不一樣的方式
[30:48] 沒有辦法
[30:50] 以一而論這樣子
[30:55] 那Alice有關稅率的部分
[30:58] 就是我知道你剛剛有提到說
[30:59] 我們今年的
[31:02] 目前的兩個季度
[31:03] 稅率都還算平穩
[31:05] 那這個因為其實以PECA
[31:07] 這樣的一個集團來說
[31:10] 其實稅率真的是非常複雜
[31:12] 那大家整個
[31:14] 國家自己屈手稅的
[31:17] 包括證實金差異的調整
[31:20] 來調整去 其實說實話是真的
[31:23] 沒有辦法
[31:24] 沒有辦法有一個
[31:28] 有一個就是比較清楚回答您的問題
[31:31] 那只能說以今年上半年
[31:33] 兩個季度都比較平整
[31:35] 那這個看起來也確實是
[31:38] 跟整個Operation的
[31:40] 獲利稅率
[31:41] 那暫時金差異等等
[31:43] 產生的一個影響
[31:45] 那我目前大致上只能說
[31:48] 因為包含
[31:50] Business的一個奧路克
[31:52] 在下半年的展開
[31:54] 那這個所得稅
[31:56] 它基本上應該還是要跟著
[31:58] 獲利的
[32:00] 尤其是業內獲利的這個來源
[32:02] 來自產生
[32:03] 那希望這個回答對你的Model
[32:05] 有一點幫助 謝謝
[32:09] 好 謝謝各位參觀員
[32:10] 我這邊沒有問題 謝謝
[32:18] 謝謝 下一個線上的提問
[32:20] 來自於JP Morgan的Adony
[32:22] Adony請說 謝謝
[32:27] 好 觀演員你們好
[32:29] 謝謝Business我的提問
[32:30] 我這邊有幾個follow-up
[32:32] 根據前面的先進提問
[32:34] 第一個想先很快的確認一下
[32:36] 剛剛是不是有提到說
[32:38] 我們在Serva Business
[32:40] 很快會成為我們集團
[32:42] 應該是集團的
[32:43] Op3的營收規模的Business
[32:46] 想確認一下這個common
[32:48] 這個理解是不是正確的
[32:50] 對 那第二個問題是想
[32:52] 追問一下那個Opax的部分
[32:54] 因為我看第二季
[32:56] 相較第一季大概都維持了
[32:58] 幾乎是零
[32:59] 很多Opax的金額
