chain	owner	role	counterparty	label
components/power_cooling.json	Hyosung Heavy Industries	customer	KEPCO	Hyosung Heavy Industries Q2 FY2026 (08-13-2026)
components/power_cooling.json	Doosan Enerbility	customer	KEPCO	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	KEPCO	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	KEPCO	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	Korea Midland Power	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	Korea Midland Power	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	customer	Korea Southern Power	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	Korea Hydro & Nuclear Power	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	Korea Hydro & Nuclear Power	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	Korea Hydro & Nuclear Power	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	Korea Hydro & Nuclear Power	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	Korea Hydro & Nuclear Power	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	Korea Hydro & Nuclear Power	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	Korea Hydro & Nuclear Power	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	LS Electric	customer	KAPES	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	LS Electric	customer	KAPES	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	customer	Saudi Electricity Company	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	customer	Saudi Electricity Company	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	customer	National Grid	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	Hyosung Heavy Industries	customer	Statnett	Hyosung Heavy Industries Q2 FY2026 (08-13-2026)
components/power_cooling.json	Hyosung Heavy Industries	customer	Statnett	Hyosung Heavy Industries Q2 FY2026 (08-13-2026)
components/power_cooling.json	Hyosung Heavy Industries	customer	AusNet	Hyosung Heavy Industries Q2 FY2026 (08-13-2026)
components/power_cooling.json	Hyosung Heavy Industries	customer	Eskom	Hyosung Heavy Industries Q2 FY2026 (08-13-2026)
components/power_cooling.json	Hyosung Heavy Industries	customer	NSW Electricity	Hyosung Heavy Industries Q2 FY2026 (08-13-2026)
components/power_cooling.json	Doosan Enerbility	customer	Jabel Power	Doosan Enerbility DART supply contract (08-21-2026)
components/power_cooling.json	Doosan Enerbility	customer	Jabel Power	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	Coastal Power	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	customer	Jumin Sandeulbaram Power	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	Hyosung Heavy Industries	customer	LS Power	Hyosung Heavy Industries Q2 FY2026 (08-13-2026)
components/power_cooling.json	Hyosung Heavy Industries	customer	Tangkam BESS	Hyosung Heavy Industries Q2 FY2026 (08-13-2026)
components/power_cooling.json	LS Electric	customer	Burnley BESS	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	LS Electric	customer	Hanwha Q Cells	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	customer	HL D&I Halla	HD Hyundai Electric DART supply contract (08-27-2026)
components/power_cooling.json	HD Hyundai Electric	customer	Semco Maritime	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	customer	Algihaz Contracting Company	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	Hyosung Heavy Industries	customer	Burns & McDonnell	Hyosung Heavy Industries Q2 FY2026 (08-13-2026)
components/power_cooling.json	LS Electric	customer	Samsung E&C	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	customer	HD Hyundai Heavy Industries	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	customer	HD Construction Equipment	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	Hyosung Heavy Industries	customer	Hanwha Ocean	Hyosung Heavy Industries Q2 FY2026 (08-13-2026)
components/power_cooling.json	LS Electric	customer	ST Engineering	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	LS Electric	customer	Hyundai Rotem	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	LS Electric	customer	Bombardier Transportation	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	Doosan Enerbility	customer	Tuwaiq Casting & Forging	Doosan Enerbility Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Shinhyun Electric	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Changsung Precision	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Hitech&Sol	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Taeyang Electric	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Daehwa Precision	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Samdong	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	Hyosung Heavy Industries	supplier	Samdong	Hyosung Heavy Industries Q2 FY2026 (08-13-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Sungdo Hitech	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	TC Materials	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	Hyosung Heavy Industries	supplier	TC Materials	Hyosung Heavy Industries Q2 FY2026 (08-13-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	DY Electric	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Hanbit KSE	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Luxco	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	POSCO Mobility Solution	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	LS Electric	supplier	POSCO Mobility Solution	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Goa Precision	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Joincore	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	JFE Shoji Trade	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Kumkang Steel	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	Encross	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	supplier	DSE	HD Hyundai Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	LS Electric	supplier	LS MnM	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	LS Electric	customer	LG Energy Solution	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	LS Electric	customer	Samsung SDI	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	LS Electric	customer	Power Electronics	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	Sanil Electric	customer	TMEIC USA	Sanil Electric DART supply contract (08-20-2026)
components/power_cooling.json	LS Electric	customer	CTC Property	LS Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	Sanil Electric	customer	EPC Power Corporation	Sanil Electric Q2 FY2026 (08-14-2026)
components/power_cooling.json	HD Hyundai Electric	customer	Samsung	HD Hyundai Electric DART supply contract (08-27-2026)
manufacturing/foundry.json	Dongjin Semichem	customer	LG Display	Dongjin Semichem Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	Dongjin Semichem	customer	Samsung Display	Dongjin Semichem Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	Dongjin Semichem	customer	BOE	Dongjin Semichem Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	Dongjin Semichem	customer	CSOT	Dongjin Semichem Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	Leeno Industrial	customer	Siemens Healthineers	Leeno Industrial Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	Dongjin Semichem	supplier	PURAC Asia Pacific	Dongjin Semichem Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	Dongjin Semichem	supplier	Ashland	Dongjin Semichem Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	Dongjin Semichem	supplier	Samyang NC Chem	Dongjin Semichem Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	Dongjin Semichem	supplier	Dongjin Advanced Materials	Dongjin Semichem Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	Dongjin Semichem	supplier	Jaewon Industrial	Dongjin Semichem Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	Dongjin Semichem	supplier	Tokyo Electronic Materials	Dongjin Semichem Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	ISC	supplier	SKC	ISC Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	AD Technology	customer	BOS Semiconductor	AD Technology Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	Leeno Industrial	supplier	Leeno Precision	Leeno Industrial Q2 FY2026 (08-14-2026)
manufacturing/foundry.json	Leeno Industrial	customer	Leeno Precision	Leeno Industrial Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	customer	Xiaomi	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	customer	Bosch	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	customer	Continental	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	customer	Rutronik	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	customer	Future Electronics	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	supplier	Sony	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	customer	Sony	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	customer	Tesla	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	supplier	Haesung Optics	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	supplier	Actro	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	supplier	Toray	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	supplier	Cosmo	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Samsung Electro-Mechanics	supplier	Guangbo	Samsung Electro-Mechanics Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Daeduck Electronics	supplier	LG Chem	Daeduck Electronics Q2 FY2026 (08-13-2026)
manufacturing/packaging_substrate.json	Simmtech	supplier	LG Chem	Simmtech Q2 FY2026 (08-13-2026)
manufacturing/packaging_substrate.json	Isu Petasys	supplier	Lotte Energy Materials	Isu Petasys Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Isu Petasys	supplier	Circuit Foil Luxembourg	Isu Petasys Q2 FY2026 (08-14-2026)
manufacturing/packaging_substrate.json	Simmtech	supplier	Mitsui & Co.	Simmtech Q2 FY2026 (08-13-2026)
manufacturing/packaging_substrate.json	Daeduck Electronics	supplier	Heesung Catalysts	Daeduck Electronics Q2 FY2026 (08-13-2026)
manufacturing/packaging_substrate.json	Simmtech	supplier	Heesung Catalysts	Simmtech Q2 FY2026 (08-13-2026)
manufacturing/packaging_substrate.json	Isu Petasys	supplier	DNP Corporation	Isu Petasys Q2 FY2026 (08-14-2026)
